mz,abundance
700.03,1
700.089,0
700.149,0
700.208,0
700.268,0
700.327,1
700.387,1
700.446,1
700.506,1
700.565,0
700.625,0
700.685,0
700.744,1
700.804,1
700.863,2
700.923,3
700.982,2
701.042,2
701.101,1
701.161,0
701.22,0
701.28,1
701.339,1
701.399,1
701.458,2
701.518,1
701.578,1
701.637,2
701.697,1
701.756,1
701.816,1
701.875,4
701.935,6
701.995,6
702.054,8
702.114,7
702.173,7
702.233,10
702.292,11
702.352,13
702.412,14
702.471,12
702.531,9
702.59,4
702.65,2
702.71,1
702.769,1
702.829,1
702.888,0
702.948,0
703.008,0
703.067,1
703.127,1
703.187,1
703.246,1
703.306,0
703.365,0
703.425,0
703.485,0
703.544,0
703.604,0
703.664,0
703.723,0
703.783,0
703.843,0
703.902,1
703.962,1
704.022,1
704.081,1
704.141,1
704.201,1
704.26,1
704.32,2
704.38,2
704.439,2
704.499,4
704.559,3
704.618,5
704.678,5
704.738,6
704.797,8
704.857,5
704.917,5
704.977,2
705.036,1
705.096,1
705.156,1
705.215,2
705.275,1
705.335,2
705.395,2
705.454,1
705.514,1
705.574,0
705.633,0
705.693,0
705.753,0
705.813,1
705.872,3
705.932,3
705.992,4
706.052,5
706.111,5
706.171,8
706.231,8
706.291,7
706.35,6
706.41,4
706.47,4
706.53,4
706.589,4
706.649,0
706.709,0
706.769,0
706.829,0
706.888,1
706.948,1
707.008,1
707.068,1
707.128,0
707.187,0
707.247,1
707.307,1
707.367,1
707.427,1
707.486,3
707.546,3
707.606,4
707.666,4
707.726,4
707.785,4
707.845,3
707.905,4
707.965,1
708.025,1
708.085,1
708.144,1
708.204,1
708.264,1
708.324,1
708.384,0
708.444,2
708.504,2
708.563,5
708.623,5
708.683,3
708.743,3
708.803,0
708.863,0
708.923,0
708.982,0
709.042,0
709.102,0
709.162,0
709.222,0
709.282,0
709.342,2
709.402,2
709.462,2
709.521,2
709.581,1
709.641,1
709.701,2
709.761,3
709.821,3
709.881,5
709.941,5
710.001,5
710.061,5
710.121,5
710.18,5
710.24,4
710.3,3
710.36,2
710.42,1
710.48,1
710.54,1
710.6,4
710.66,6
710.72,7
710.78,7
710.84,3
710.9,1
710.96,1
711.02,4
711.08,4
711.14,4
711.2,4
711.26,1
711.32,1
711.38,4
711.439,3
711.499,4
711.559,4
711.619,4
711.679,4
711.739,3
711.799,3
711.859,0
711.919,5
711.979,5
712.039,5
712.099,5
712.159,3
712.219,3
712.279,3
712.339,3
712.4,0
712.46,3
712.52,5
712.58,6
712.64,10
712.7,7
712.76,5
712.82,4
712.88,0
712.94,0
713,1
713.06,1
713.12,1
713.18,1
713.24,0
713.3,0
713.36,2
713.42,2
713.48,5
713.54,5
713.6,6
713.661,6
713.721,3
713.781,4
713.841,5
713.901,4
713.961,3
714.021,1
714.081,0
714.141,0
714.201,0
714.261,1
714.322,2
714.382,3
714.442,4
714.502,4
714.562,5
714.622,5
714.682,5
714.742,5
714.802,4
714.863,3
714.923,2
714.983,1
715.043,3
715.103,3
715.163,3
715.223,3
715.284,1
715.344,2
715.404,2
715.464,2
715.524,3
715.584,2
715.644,3
715.705,3
715.765,1
715.825,1
715.885,0
715.945,0
716.005,3
716.066,3
716.126,3
716.186,3
716.246,3
716.306,4
716.367,5
716.427,9
716.487,6
716.547,8
716.607,7
716.668,3
716.728,3
716.788,0
716.848,0
716.908,0
716.969,0
717.029,0
717.089,0
717.149,0
717.209,0
717.27,0
717.33,0
717.39,0
717.45,0
717.511,0
717.571,0
717.631,0
717.691,2
717.752,2
717.812,2
717.872,2
717.932,2
717.993,2
718.053,2
718.113,2
718.173,0
718.234,0
718.294,0
718.354,0
718.414,0
718.475,0
718.535,1
718.595,1
718.656,1
718.716,1
718.776,1
718.837,1
718.897,1
718.957,2
719.017,2
719.078,3
719.138,5
719.198,4
719.259,3
719.319,2
719.379,0
719.44,1
719.5,2
719.56,3
719.621,5
719.681,5
719.741,5
719.802,6
719.862,4
719.922,4
719.983,5
720.043,4
720.103,1
720.164,1
720.224,1
720.284,1
720.345,1
720.405,1
720.465,0
720.526,0
720.586,1
720.647,1
720.707,3
720.767,4
720.828,3
720.888,3
720.948,1
721.009,0
721.069,0
721.13,0
721.19,0
721.25,0
721.311,0
721.371,0
721.432,0
721.492,2
721.552,2
721.613,2
721.673,2
721.734,1
721.794,1
721.855,1
721.915,1
721.975,0
722.036,0
722.096,0
722.157,2
722.217,2
722.278,4
722.338,8
722.398,9
722.459,9
722.519,8
722.58,8
722.64,4
722.701,3
722.761,1
722.822,0
722.882,0
722.943,1
723.003,1
723.064,4
723.124,4
723.184,3
723.245,5
723.305,3
723.366,3
723.426,3
723.487,4
723.547,3
723.608,4
723.668,5
723.729,3
723.789,4
723.85,3
723.91,3
723.971,3
724.031,2
724.092,2
724.152,2
724.213,1
724.274,1
724.334,1
724.395,0
724.455,4
724.516,5
724.576,6
724.637,8
724.697,6
724.758,5
724.818,4
724.879,2
724.939,0
725,0
725.061,0
725.121,0
725.182,1
725.242,1
725.303,1
725.363,1
725.424,0
725.485,0
725.545,0
725.606,0
725.666,1
725.727,2
725.787,4
725.848,5
725.909,5
725.969,5
726.03,5
726.09,5
726.151,6
726.212,4
726.272,3
726.333,3
726.394,6
726.454,4
726.515,6
726.575,6
726.636,4
726.697,4
726.757,3
726.818,3
726.879,1
726.939,2
727,2
727.06,3
727.121,4
727.182,4
727.242,4
727.303,4
727.364,2
727.424,2
727.485,2
727.546,4
727.606,4
727.667,4
727.728,4
727.788,2
727.849,0
727.91,0
727.97,1
728.031,1
728.092,1
728.152,3
728.213,3
728.274,3
728.335,3
728.395,2
728.456,1
728.517,1
728.577,1
728.638,0
728.699,0
728.76,1
728.82,2
728.881,2
728.942,3
729.002,2
729.063,4
729.124,4
729.185,3
729.245,3
729.306,0
729.367,0
729.428,0
729.488,0
729.549,0
729.61,0
729.671,0
729.731,0
729.792,1
729.853,1
729.914,1
729.974,1
730.035,0
730.096,0
730.157,1
730.217,2
730.278,2
730.339,2
730.4,2
730.461,1
730.521,3
730.582,3
730.643,2
730.704,2
730.765,5
730.825,5
730.886,5
730.947,5
731.008,0
731.069,0
731.129,0
731.19,0
731.251,1
731.312,1
731.373,1
731.434,1
731.494,0
731.555,0
731.616,2
731.677,5
731.738,6
731.799,6
731.859,6
731.92,3
731.981,4
732.042,4
732.103,2
732.164,2
732.225,2
732.285,3
732.346,4
732.407,6
732.468,5
732.529,4
732.59,3
732.651,1
732.712,0
732.772,0
732.833,0
732.894,1
732.955,1
733.016,1
733.077,2
733.138,1
733.199,2
733.26,3
733.32,4
733.381,4
733.442,7
733.503,6
733.564,5
733.625,5
733.686,3
733.747,3
733.808,3
733.869,3
733.93,1
733.991,1
734.052,2
734.113,3
734.173,3
734.234,3
734.295,1
734.356,0
734.417,0
734.478,0
734.539,1
734.6,1
734.661,3
734.722,3
734.783,5
734.844,7
734.905,5
734.966,7
735.027,4
735.088,2
735.149,2
735.21,1
735.271,1
735.332,1
735.393,1
735.454,1
735.515,2
735.576,3
735.637,5
735.698,4
735.759,3
735.82,3
735.881,2
735.942,3
736.003,3
736.064,2
736.125,1
736.186,4
736.247,4
736.308,4
736.369,8
736.43,5
736.491,6
736.552,7
736.613,7
736.674,7
736.735,7
736.796,4
736.858,1
736.919,1
736.98,1
737.041,0
737.102,0
737.163,0
737.224,0
737.285,0
737.346,1
737.407,1
737.468,1
737.529,1
737.59,2
737.651,2
737.713,2
737.774,2
737.835,0
737.896,0
737.957,0
738.018,0
738.079,0
738.14,0
738.201,0
738.263,0
738.324,0
738.385,2
738.446,3
738.507,4
738.568,5
738.629,8
738.69,9
738.752,8
738.813,7
738.874,3
738.935,3
738.996,4
739.057,6
739.118,8
739.18,7
739.241,7
739.302,5
739.363,2
739.424,1
739.485,4
739.547,4
739.608,4
739.669,5
739.73,1
739.791,1
739.852,2
739.914,1
739.975,1
740.036,2
740.097,2
740.158,2
740.22,2
740.281,1
740.342,0
740.403,0
740.464,1
740.526,1
740.587,2
740.648,6
740.709,6
740.77,8
740.832,8
740.893,5
740.954,5
741.015,1
741.077,2
741.138,2
741.199,2
741.26,1
741.322,0
741.383,0
741.444,0
741.505,0
741.567,0
741.628,0
741.689,0
741.75,0
741.812,0
741.873,0
741.934,0
741.995,0
742.057,0
742.118,0
742.179,0
742.241,0
742.302,1
742.363,1
742.424,2
742.486,5
742.547,4
742.608,4
742.67,4
742.731,3
742.792,3
742.853,3
742.915,2
742.976,0
743.037,0
743.099,0
743.16,0
743.221,0
743.283,2
743.344,3
743.405,4
743.467,5
743.528,5
743.589,5
743.651,5
743.712,5
743.773,2
743.835,2
743.896,2
743.957,2
744.019,0
744.08,0
744.142,0
744.203,0
744.264,0
744.326,0
744.387,0
744.448,4
744.51,4
744.571,4
744.633,5
744.694,5
744.755,5
744.817,5
744.878,3
744.939,2
745.001,1
745.062,1
745.124,1
745.185,1
745.247,1
745.308,3
745.369,3
745.431,3
745.492,4
745.554,1
745.615,1
745.676,1
745.738,1
745.799,1
745.861,1
745.922,1
745.984,1
746.045,1
746.106,1
746.168,2
746.229,1
746.291,1
746.352,4
746.414,8
746.475,8
746.537,8
746.598,11
746.66,8
746.721,8
746.783,8
746.844,2
746.905,0
746.967,0
747.028,0
747.09,0
747.151,0
747.213,0
747.274,0
747.336,0
747.397,2
747.459,4
747.52,4
747.582,4
747.643,3
747.705,1
747.766,1
747.828,2
747.889,1
747.951,3
748.013,3
748.074,6
748.136,7
748.197,7
748.259,7
748.32,3
748.382,3
748.443,1
748.505,3
748.566,3
748.628,2
748.689,3
748.751,1
748.813,1
748.874,2
748.936,1
748.997,1
749.059,1
749.12,4
749.182,3
749.244,2
749.305,2
749.367,1
749.428,1
749.49,1
749.551,0
749.613,2
749.675,2
749.736,2
749.798,2
749.859,1
749.921,3
749.983,5
750.044,6
750.106,7
750.167,6
750.229,6
750.291,6
750.352,3
750.414,3
750.476,2
750.537,5
750.599,4
750.66,5
750.722,5
750.784,2
750.845,1
750.907,0
750.969,0
751.03,0
751.092,0
751.154,1
751.215,1
751.277,1
751.339,3
751.4,2
751.462,2
751.524,2
751.585,1
751.647,1
751.709,1
751.77,1
751.832,0
751.894,1
751.955,4
752.017,4
752.079,4
752.14,3
752.202,4
752.264,3
752.326,2
752.387,1
752.449,1
752.511,1
752.572,2
752.634,4
752.696,4
752.758,4
752.819,3
752.881,2
752.943,1
753.004,1
753.066,1
753.128,2
753.19,2
753.251,3
753.313,3
753.375,1
753.437,2
753.498,1
753.56,4
753.622,4
753.684,3
753.745,4
753.807,3
753.869,4
753.931,8
753.993,7
754.054,5
754.116,4
754.178,0
754.24,0
754.301,2
754.363,2
754.425,2
754.487,3
754.549,1
754.61,1
754.672,1
754.734,0
754.796,0
754.858,0
754.919,0
754.981,0
755.043,0
755.105,0
755.167,2
755.228,2
755.29,2
755.352,3
755.414,1
755.476,1
755.538,1
755.599,0
755.661,1
755.723,1
755.785,1
755.847,2
755.909,3
755.971,4
756.032,6
756.094,6
756.156,5
756.218,4
756.28,2
756.342,1
756.404,0
756.466,0
756.527,0
756.589,0
756.651,0
756.713,0
756.775,1
756.837,2
756.899,2
756.961,2
757.022,1
757.084,0
757.146,1
757.208,1
757.27,2
757.332,2
757.394,1
757.456,1
757.518,1
757.58,2
757.642,4
757.704,5
757.765,6
757.827,5
757.889,3
757.951,2
758.013,0
758.075,0
758.137,0
758.199,2
758.261,2
758.323,2
758.385,3
758.447,1
758.509,1
758.571,2
758.633,1
758.695,1
758.757,1
758.819,1
758.881,1
758.943,1
759.005,2
759.067,3
759.129,4
759.191,5
759.253,5
759.315,3
759.377,2
759.439,1
759.501,0
759.563,3
759.625,3
759.687,4
759.749,4
759.811,5
759.873,5
759.935,7
759.997,7
760.059,3
760.121,3
760.183,0
760.245,2
760.307,3
760.369,4
760.431,6
760.493,7
760.555,7
760.617,6
760.679,4
760.741,3
760.803,3
760.865,4
760.927,5
760.989,3
761.051,2
761.113,1
761.176,0
761.238,0
761.3,0
761.362,2
761.424,2
761.486,3
761.548,4
761.61,4
761.672,4
761.734,7
761.796,7
761.858,5
761.921,5
761.983,2
762.045,2
762.107,2
762.169,2
762.231,1
762.293,0
762.355,0
762.417,0
762.48,0
762.542,0
762.604,0
762.666,0
