mz,abundance
700.017,15
700.077,13
700.136,11
700.196,12
700.255,7
700.315,7
700.374,7
700.434,6
700.493,5
700.553,2
700.612,2
700.672,0
700.731,3
700.791,3
700.851,3
700.91,4
700.97,2
701.029,3
701.089,3
701.148,3
701.208,3
701.267,2
701.327,2
701.386,1
701.446,0
701.506,0
701.565,0
701.625,2
701.684,2
701.744,2
701.803,2
701.863,0
701.923,0
701.982,1
702.042,1
702.101,1
702.161,3
702.221,2
702.28,2
702.34,2
702.399,0
702.459,0
702.519,0
702.578,0
702.638,0
702.698,0
702.757,0
702.817,0
702.876,0
702.936,0
702.996,0
703.055,0
703.115,0
703.175,1
703.234,1
703.294,2
703.353,2
703.413,2
703.473,2
703.532,2
703.592,2
703.652,1
703.711,2
703.771,1
703.831,1
703.89,1
703.95,0
704.01,0
704.069,0
704.129,0
704.189,0
704.249,1
704.308,1
704.368,4
704.428,7
704.487,6
704.547,7
704.607,4
704.666,3
704.726,3
704.786,2
704.846,2
704.905,0
704.965,0
705.025,0
705.084,0
705.144,0
705.204,0
705.264,0
705.323,0
705.383,0
705.443,0
705.503,0
705.562,0
705.622,0
705.682,1
705.741,1
705.801,3
705.861,3
705.921,2
705.981,2
706.04,1
706.1,1
706.16,1
706.22,1
706.279,0
706.339,0
706.399,0
706.459,0
706.518,0
706.578,0
706.638,0
706.698,0
706.758,2
706.817,2
706.877,2
706.937,3
706.997,1
707.057,2
707.116,2
707.176,1
707.236,1
707.296,0
707.356,0
707.416,1
707.475,1
707.535,1
707.595,1
707.655,2
707.715,3
707.775,4
707.834,5
707.894,4
707.954,6
708.014,6
708.074,3
708.134,4
708.193,9
708.253,9
708.313,8
708.373,7
708.433,2
708.493,2
708.553,2
708.613,2
708.672,0
708.732,0
708.792,0
708.852,1
708.912,1
708.972,1
709.032,1
709.092,0
709.151,1
709.211,1
709.271,2
709.331,2
709.391,2
709.451,2
709.511,1
709.571,1
709.631,0
709.691,0
709.751,0
709.811,0
709.87,4
709.93,5
709.99,6
710.05,6
710.11,2
710.17,1
710.23,0
710.29,2
710.35,3
710.41,3
710.47,3
710.53,1
710.59,0
710.65,0
710.71,0
710.77,0
710.83,0
710.89,0
710.95,0
711.01,0
711.07,0
711.129,0
711.189,0
711.249,0
711.309,0
711.369,1
711.429,1
711.489,1
711.549,1
711.609,0
711.669,1
711.729,1
711.789,1
711.849,1
711.909,2
711.969,2
712.03,2
712.09,2
712.15,0
712.21,0
712.27,0
712.33,0
712.39,1
712.45,1
712.51,1
712.57,1
712.63,0
712.69,0
712.75,1
712.81,1
712.87,1
712.93,1
712.99,3
713.05,3
713.11,3
713.17,3
713.23,1
713.291,1
713.351,1
713.411,1
713.471,0
713.531,0
713.591,1
713.651,1
713.711,1
713.771,2
713.831,1
713.891,2
713.951,3
714.012,2
714.072,2
714.132,2
714.192,2
714.252,3
714.312,5
714.372,4
714.432,3
714.493,2
714.553,0
714.613,0
