mz,abundance
700.017,180
700.076,170
700.136,165
700.196,158
700.255,133
700.315,121
700.374,107
700.434,88
700.493,92
700.553,108
700.613,122
700.672,142
700.732,170
700.791,189
700.851,217
700.91,227
700.97,241
701.03,238
701.089,219
701.149,201
701.208,173
701.268,158
701.328,154
701.387,140
701.447,130
701.506,132
701.566,127
701.626,125
701.685,136
701.745,137
701.805,144
701.864,145
701.924,148
701.983,150
702.043,156
702.103,163
702.162,163
702.222,163
702.282,145
702.341,139
702.401,124
702.461,112
702.52,110
702.58,114
702.64,107
702.699,135
702.759,157
702.819,170
702.878,191
702.938,205
702.998,216
703.057,227
703.117,207
703.177,180
703.236,149
703.296,112
703.356,105
703.415,104
703.475,104
703.535,123
703.594,115
703.654,116
703.714,124
703.774,120
703.833,137
703.893,155
703.953,162
704.012,173
704.072,163
704.132,167
704.192,160
704.251,147
704.311,142
704.371,129
704.43,128
704.49,139
704.55,164
704.61,165
704.669,174
704.729,187
704.789,171
704.849,171
704.908,173
704.968,161
705.028,165
705.088,167
705.148,163
705.207,168
705.267,174
705.327,158
705.387,160
705.446,153
705.506,124
705.566,123
705.626,128
705.686,131
705.745,141
705.805,160
705.865,171
705.925,176
705.985,188
706.044,198
706.104,180
706.164,168
706.224,161
706.284,146
706.343,140
706.403,128
706.463,119
706.523,106
706.583,111
706.643,114
706.702,118
706.762,138
706.822,148
706.882,167
706.942,200
707.002,209
707.061,220
707.121,221
707.181,199
707.241,175
707.301,147
707.361,132
707.421,115
707.48,103
707.54,95
707.6,91
707.66,101
707.72,103
707.78,111
707.84,122
707.9,129
707.959,136
708.019,143
708.079,155
708.139,157
708.199,147
708.259,140
708.319,125
708.379,121
708.439,120
708.499,115
708.558,112
708.618,106
708.678,109
708.738,120
708.798,126
708.858,135
708.918,156
708.978,177
709.038,198
709.098,213
709.158,201
709.218,182
709.278,166
709.338,137
709.397,130
709.457,122
709.517,116
709.577,128
709.637,144
709.697,160
709.757,174
709.817,185
709.877,188
709.937,191
709.997,193
710.057,189
710.117,183
710.177,172
710.237,155
710.297,125
710.357,106
710.417,92
710.477,86
710.537,91
710.597,94
710.657,101
710.717,112
710.777,118
710.837,140
710.897,173
710.957,194
711.017,213
711.077,219
711.137,207
711.197,178
711.257,152
711.317,135
711.377,115
711.437,104
711.497,108
711.557,118
711.617,137
711.677,163
711.737,184
711.798,194
711.858,206
711.918,211
711.978,198
712.038,192
712.098,186
712.158,169
712.218,149
712.278,134
712.338,127
712.398,114
712.458,118
712.518,118
712.578,121
712.639,132
712.699,140
712.759,144
712.819,151
712.879,156
712.939,162
712.999,172
713.059,169
713.119,174
713.179,157
713.24,143
713.3,122
713.36,105
713.42,108
713.48,108
713.54,99
713.6,92
713.66,93
713.721,105
713.781,120
713.841,144
713.901,161
713.961,179
714.021,195
714.081,209
714.142,214
714.202,202
714.262,187
714.322,179
714.382,189
714.442,184
714.503,175
714.563,169
714.623,152
714.683,149
714.743,155
714.803,156
714.864,163
714.924,169
714.984,169
715.044,160
715.104,168
715.165,162
715.225,142
715.285,141
715.345,119
715.405,107
715.466,101
715.526,112
715.586,124
715.646,137
715.706,157
715.767,166
715.827,173
715.887,180
715.947,177
716.008,164
716.068,146
716.128,131
716.188,114
716.248,102
716.309,98
716.369,95
716.429,106
716.489,109
716.55,121
716.61,120
716.67,122
716.73,126
716.791,134
716.851,144
716.911,150
716.972,162
717.032,164
717.092,180
717.152,171
717.213,175
717.273,179
717.333,175
717.394,172
717.454,173
717.514,173
717.574,148
717.635,132
717.695,102
717.755,100
717.816,110
717.876,125
717.936,143
717.997,149
718.057,150
718.117,153
718.178,145
718.238,144
718.298,138
718.358,129
718.419,115
718.479,95
718.54,98
718.6,103
718.66,102
718.721,108
718.781,99
718.841,104
718.902,126
718.962,143
719.022,172
719.083,197
719.143,206
719.203,208
719.264,206
719.324,194
719.385,180
719.445,168
719.505,147
719.566,122
719.626,113
719.686,100
719.747,109
719.807,120
719.868,134
719.928,185
719.988,285
720.049,390
720.109,562
720.17,876
720.23,1317
720.29,1756
720.351,2144
720.411,2362
720.472,2340
720.532,2283
720.593,2210
720.653,2064
720.713,1818
720.774,1590
720.834,1345
720.895,1159
720.955,1067
721.016,986
721.076,946
721.136,1033
721.197,1325
721.257,1631
721.318,1916
721.378,2173
721.439,2271
721.499,2333
721.56,2355
721.62,2260
721.681,2000
721.741,1742
721.802,1484
721.862,1226
721.923,1095
721.983,962
722.044,879
722.104,884
722.164,962
722.225,1064
722.285,1177
722.346,1305
722.406,1438
722.467,1567
722.528,1648
722.588,1647
722.649,1517
722.709,1380
722.77,1222
722.83,1086
722.891,991
722.951,880
723.012,806
723.072,726
723.133,681
723.193,652
723.254,639
723.314,651
723.375,676
723.435,710
723.496,710
723.557,699
723.617,632
723.678,568
723.738,501
723.799,436
723.859,401
723.92,373
723.98,358
724.041,352
724.102,339
724.162,332
724.223,309
724.283,295
724.344,293
724.405,294
724.465,297
724.526,303
724.586,305
724.647,307
724.707,305
724.768,315
724.829,320
724.889,321
724.95,333
725.011,325
725.071,314
725.132,303
725.192,286
725.253,282
725.314,288
725.374,296
725.435,301
725.496,302
725.556,300
725.617,285
725.677,275
725.738,271
725.799,267
725.859,269
725.92,270
725.981,283
726.041,280
726.102,274
726.163,261
726.223,236
726.284,230
726.345,225
726.405,217
726.466,215
726.527,203
726.587,196
726.648,194
726.709,194
726.769,207
726.83,224
726.891,250
726.951,257
727.012,265
727.073,265
727.134,250
727.194,225
727.255,209
727.316,194
727.376,177
727.437,190
727.498,197
727.559,202
727.619,203
727.68,212
727.741,212
727.801,215
727.862,229
727.923,229
727.984,247
728.044,262
728.105,284
728.166,288
728.227,265
728.287,243
728.348,201
728.409,171
728.47,150
728.53,141
728.591,131
728.652,134
728.713,142
728.774,135
728.834,161
728.895,183
728.956,194
729.017,226
729.077,253
729.138,251
729.199,238
729.26,225
729.321,193
729.381,163
729.442,154
729.503,135
729.564,125
729.625,137
729.685,141
729.746,145
729.807,150
729.868,157
729.929,160
729.989,169
730.05,160
730.111,149
730.172,138
730.233,139
730.294,138
730.354,138
730.415,135
730.476,129
730.537,132
730.598,121
730.659,119
730.72,123
730.78,119
730.841,128
730.902,135
730.963,146
731.024,154
731.085,175
731.146,195
731.206,213
731.267,213
731.328,193
731.389,171
731.45,141
731.511,127
731.572,126
731.633,130
731.694,133
731.754,154
731.815,170
731.876,200
731.937,233
731.998,256
732.059,280
732.12,270
732.181,261
732.242,245
732.303,218
732.364,204
732.425,180
732.485,162
732.546,138
732.607,135
732.668,132
732.729,126
732.79,127
732.851,140
732.912,147
732.973,167
733.034,166
733.095,156
733.156,164
733.217,160
733.278,171
733.339,167
733.4,167
733.461,153
733.522,163
733.583,158
733.644,151
733.705,167
733.766,158
733.827,171
733.887,182
733.948,182
734.009,192
734.07,198
734.131,207
734.192,217
734.253,218
734.314,224
734.375,238
734.436,258
734.498,279
734.559,264
734.62,254
734.681,231
734.742,205
734.803,193
734.864,190
734.925,186
734.986,192
735.047,213
735.108,222
735.169,222
735.23,211
735.291,199
735.352,191
735.413,184
735.474,184
735.535,175
735.596,169
735.657,167
735.718,172
735.779,173
735.84,183
735.902,187
735.963,182
736.024,191
736.085,196
736.146,196
736.207,222
736.268,263
736.329,300
736.39,357
736.451,377
736.512,383
736.573,379
736.635,369
736.696,362
736.757,352
736.818,340
736.879,336
736.94,328
737.001,331
737.062,343
737.123,329
737.185,348
737.246,374
737.307,390
737.368,425
737.429,462
737.49,471
737.551,487
737.613,480
737.674,431
737.735,407
737.796,368
737.857,320
737.918,302
737.979,278
738.041,261
738.102,256
738.163,253
738.224,250
738.285,252
738.346,244
738.408,234
738.469,228
738.53,229
738.591,227
738.652,217
738.714,218
738.775,220
738.836,230
738.897,258
738.958,278
739.02,282
739.081,286
739.142,260
739.203,239
739.264,231
739.326,220
739.387,218
739.448,227
739.509,235
739.571,230
739.632,235
739.693,227
739.754,219
739.815,208
739.877,187
739.938,175
739.999,170
740.06,160
740.122,152
740.183,145
740.244,137
740.305,138
740.367,152
740.428,160
740.489,167
740.55,170
740.612,175
740.673,173
740.734,169
740.796,179
740.857,182
740.918,179
740.979,193
741.041,202
741.102,216
741.163,235
741.225,259
741.286,265
741.347,269
741.408,266
741.47,231
741.531,218
741.592,214
741.654,206
741.715,217
741.776,215
