mz,abundance
498.018,6
498.069,4
498.119,7
498.169,9
498.219,11
498.269,17
498.32,16
498.37,16
498.42,16
498.47,15
498.52,12
498.571,12
498.621,16
498.671,15
498.721,15
498.771,18
498.822,17
498.872,15
498.922,17
498.972,15
499.023,19
499.073,23
499.123,24
499.173,24
499.223,19
499.274,21
499.324,16
499.374,17
499.424,16
499.475,13
499.525,15
499.575,13
499.626,16
499.676,14
499.726,10
499.776,11
499.827,6
499.877,17
499.927,22
499.977,28
500.028,31
500.078,24
500.128,22
500.179,15
500.229,12
500.279,11
500.329,15
500.38,17
500.43,19
500.48,17
500.531,16
500.581,20
500.631,21
500.682,20
500.732,21
500.782,19
500.833,22
500.883,25
500.933,23
500.984,20
501.034,17
501.084,18
501.135,18
501.185,17
501.235,16
501.286,10
501.336,8
501.386,11
501.437,14
501.487,21
501.537,22
501.588,20
501.638,16
501.689,10
501.739,10
501.789,12
501.84,14
501.89,14
501.94,25
501.991,33
502.041,35
502.092,41
502.142,41
502.192,44
502.243,41
502.293,36
502.344,26
502.394,21
502.444,17
502.495,16
502.545,14
502.596,12
502.646,15
502.696,17
502.747,21
502.797,24
502.848,26
502.898,25
502.949,21
502.999,22
503.049,24
503.1,31
503.15,30
503.201,30
503.251,23
503.302,15
503.352,14
503.403,9
503.453,11
503.503,11
503.554,12
503.604,15
503.655,16
503.705,16
503.756,17
503.806,19
503.857,22
503.907,26
503.958,33
504.008,34
504.059,32
504.109,31
504.16,26
504.21,25
504.261,25
504.311,19
504.362,16
504.412,15
504.463,13
504.513,17
504.564,18
504.614,16
504.665,16
504.715,11
504.766,11
504.816,15
504.867,20
504.917,29
504.968,35
505.018,33
505.069,36
505.12,34
505.17,32
505.221,30
505.271,30
505.322,26
505.372,28
505.423,23
505.473,14
505.524,15
505.575,13
505.625,13
505.676,19
505.726,22
505.777,22
505.827,23
505.878,18
505.929,18
505.979,24
506.03,31
506.08,32
506.131,32
506.182,29
506.232,25
506.283,20
506.333,18
506.384,15
506.435,8
506.485,9
506.536,11
506.586,11
506.637,13
506.688,13
506.738,14
506.789,15
506.839,18
506.89,23
506.941,21
506.991,20
507.042,19
507.093,20
507.143,18
507.194,23
507.245,21
507.295,17
507.346,16
507.397,15
507.447,15
507.498,18
507.549,19
507.599,15
507.65,15
507.701,13
507.751,14
507.802,15
507.853,18
507.903,18
507.954,15
508.005,17
508.055,16
508.106,18
508.157,19
508.207,17
508.258,17
508.309,21
508.36,25
508.41,25
508.461,23
508.512,17
508.562,13
508.613,13
508.664,17
508.715,17
508.765,14
508.816,17
508.867,17
508.917,17
508.968,17
509.019,16
509.07,15
509.12,14
509.171,14
509.222,15
509.273,11
509.323,11
509.374,12
509.425,9
509.476,13
509.526,13
509.577,13
509.628,14
509.679,17
509.73,21
509.78,25
509.831,27
509.882,26
509.933,25
509.983,20
510.034,18
510.085,17
510.136,13
510.187,11
510.237,11
510.288,6
510.339,10
510.39,14
510.441,12
510.491,15
510.542,15
510.593,20
510.644,23
510.695,22
510.746,21
510.796,15
510.847,16
510.898,22
510.949,20
511,19
511.051,25
511.101,21
511.152,20
511.203,24
511.254,18
511.305,18
511.356,22
511.406,19
511.457,18
511.508,16
511.559,16
511.61,15
511.661,13
511.712,15
511.763,19
511.813,18
511.864,18
511.915,17
511.966,14
512.017,14
512.068,22
512.119,24
512.17,22
512.221,19
512.271,12
512.322,9
512.373,8
512.424,6
512.475,4
