mz,abundance
700.026,14
700.085,20
700.145,19
700.204,19
700.264,15
700.324,11
700.383,11
700.443,12
700.502,11
700.562,10
700.621,10
700.681,12
700.741,12
700.8,9
700.86,8
700.919,8
700.979,12
701.039,12
701.098,16
701.158,13
701.217,10
701.277,14
701.337,14
701.396,16
701.456,19
701.516,17
701.575,14
701.635,14
701.694,16
701.754,15
701.814,16
701.873,17
701.933,13
701.993,12
702.052,14
702.112,15
702.171,14
702.231,18
702.291,17
702.35,14
702.41,14
702.47,9
702.529,9
702.589,11
702.649,16
702.708,20
702.768,18
702.828,17
702.887,16
702.947,17
703.007,18
703.067,16
703.126,13
703.186,12
703.246,14
703.305,15
703.365,13
703.425,14
703.484,12
703.544,10
703.604,12
703.664,13
703.723,12
703.783,14
703.843,13
703.902,15
703.962,14
704.022,15
704.082,15
704.141,13
704.201,14
704.261,13
704.321,13
704.38,13
704.44,17
704.5,17
704.559,17
704.619,16
704.679,11
704.739,10
704.799,9
704.858,10
704.918,10
704.978,9
705.038,10
705.097,6
705.157,9
705.217,12
705.277,13
705.336,13
705.396,10
705.456,8
705.516,7
705.576,6
705.635,9
705.695,12
705.755,11
705.815,11
705.875,14
705.934,11
705.994,10
706.054,12
706.114,6
706.174,6
706.234,11
706.293,12
706.353,14
706.413,15
706.473,10
706.533,8
706.593,7
706.652,7
706.712,9
706.772,8
706.832,9
706.892,10
706.952,8
707.011,7
707.071,5
707.131,2
707.191,5
707.251,7
707.311,8
707.371,9
707.431,6
707.49,9
707.55,9
707.61,9
707.67,11
707.73,12
707.79,15
707.85,16
707.91,16
707.969,11
708.029,9
708.089,11
708.149,11
708.209,17
708.269,18
708.329,16
708.389,15
708.449,15
708.509,12
708.569,12
708.629,14
708.688,12
708.748,15
708.808,13
708.868,10
708.928,7
708.988,6
709.048,6
709.108,8
709.168,8
709.228,7
709.288,11
709.348,11
709.408,8
709.468,8
709.528,5
709.588,5
709.648,13
709.708,14
709.768,14
709.828,16
709.888,9
709.947,8
710.007,8
710.067,7
710.127,14
710.187,14
710.247,16
710.307,18
710.367,17
710.427,17
710.487,18
710.547,13
710.607,11
710.667,11
710.727,11
710.787,11
710.848,11
710.908,9
710.968,9
711.028,8
711.088,10
711.148,12
711.208,13
711.268,15
711.328,14
711.388,14
711.448,12
711.508,10
711.568,9
711.628,8
711.688,11
711.748,12
711.808,14
711.868,13
711.928,10
711.988,12
712.048,11
712.109,15
712.169,15
712.229,13
712.289,13
712.349,10
712.409,12
712.469,14
712.529,16
712.589,16
712.649,15
712.709,14
712.769,9
712.83,9
712.89,11
712.95,16
713.01,17
713.07,18
713.13,16
713.19,12
713.25,11
713.311,12
713.371,14
713.431,13
713.491,12
713.551,13
713.611,12
713.671,12
713.731,16
713.792,15
713.852,16
713.912,17
713.972,10
714.032,8
714.092,6
714.153,7
714.213,8
714.273,10
714.333,12
714.393,13
714.453,11
714.514,13
714.574,15
714.634,14
714.694,15
714.754,15
714.814,13
714.875,15
714.935,13
714.995,12
715.055,11
715.115,10
715.176,11
715.236,10
715.296,13
715.356,14
715.416,14
715.477,16
715.537,14
715.597,15
715.657,15
715.718,19
715.778,19
715.838,17
715.898,18
715.959,14
716.019,13
716.079,13
716.139,8
716.199,7
716.26,7
716.32,6
716.38,7
716.441,4
716.501,7
716.561,9
716.621,11
716.682,13
716.742,15
716.802,12
716.862,12
716.923,18
716.983,17
717.043,18
717.104,17
717.164,11
717.224,7
717.284,5
717.345,12
717.405,12
717.465,12
717.526,14
717.586,9
717.646,10
717.707,11
717.767,12
717.827,12
717.887,13
717.948,14
718.008,13
718.068,12
718.129,12
718.189,12
718.249,15
718.31,17
718.37,17
718.43,17
718.491,18
718.551,13
718.612,11
718.672,14
718.732,12
718.793,15
718.853,18
718.913,18
718.974,19
719.034,17
719.094,17
719.155,14
719.215,13
719.276,9
719.336,10
719.396,14
719.457,14
719.517,15
719.577,22
719.638,27
719.698,35
719.759,49
719.819,48
719.879,46
719.94,46
720.00,30
720.061,26
720.121,23
720.182,20
720.242,17
720.302,16
720.363,15
720.423,13
720.484,11
720.544,16
720.604,20
720.665,23
720.725,25
720.786,23
720.846,21
720.907,22
720.967,25
721.028,22
721.088,23
721.149,20
721.209,15
721.269,15
721.33,16
721.39,15
721.451,17
721.511,17
721.572,15
721.632,15
721.693,17
721.753,18
721.814,19
721.874,19
721.935,12
721.995,12
722.056,10
722.116,13
722.177,11
722.237,15
722.298,18
722.358,18
722.419,17
722.479,16
722.54,16
722.6,16
722.661,18
722.721,18
722.782,17
722.842,18
722.903,15
722.963,13
723.024,13
723.085,13
723.145,12
723.206,13
723.266,12
723.327,10
723.387,8
723.448,10
723.508,11
723.569,12
723.63,15
723.69,11
723.751,10
723.811,9
723.872,11
723.932,11
723.993,13
724.054,15
724.114,13
724.175,15
724.235,13
724.296,12
724.356,9
724.417,8
724.478,8
724.538,7
724.599,8
724.659,10
724.72,13
724.781,16
724.841,17
724.902,17
724.963,16
725.023,14
725.084,13
725.144,17
725.205,14
725.266,15
725.326,16
725.387,12
725.448,13
725.508,14
725.569,11
725.63,12
725.69,16
725.751,16
725.811,15
725.872,15
725.933,15
725.993,12
726.054,14
726.115,16
726.175,11
726.236,13
726.297,11
726.358,8
726.418,7
726.479,7
726.54,9
726.6,12
726.661,14
726.722,17
726.782,14
726.843,10
726.904,14
726.964,10
727.025,13
727.086,14
727.147,10
727.207,13
727.268,11
727.329,15
727.389,18
727.45,18
727.511,23
727.572,23
727.632,24
727.693,25
727.754,17
727.815,13
727.875,14
727.936,13
727.997,20
728.058,17
728.118,15
728.179,12
728.24,7
728.301,12
728.361,13
728.422,13
728.483,12
728.544,11
728.604,8
728.665,7
728.726,9
728.787,9
728.848,9
728.908,11
728.969,9
729.03,5
729.091,6
729.152,5
729.212,5
729.273,6
729.334,8
729.395,11
729.456,11
729.516,16
729.577,14
729.638,11
729.699,12
729.76,13
729.82,14
729.881,15
729.942,14
730.003,17
730.064,17
730.125,17
730.185,21
730.246,17
730.307,19
730.368,22
730.429,18
730.49,15
730.551,13
730.611,12
730.672,12
730.733,12
730.794,13
730.855,13
730.916,14
730.977,16
731.037,17
731.098,17
731.159,21
731.22,22
731.281,19
731.342,19
731.403,22
731.464,20
731.525,25
731.585,24
731.646,18
731.707,17
731.768,14
731.829,12
731.89,10
731.951,13
732.012,15
732.073,15
732.134,14
732.195,13
732.256,10
732.316,11
732.377,20
732.438,17
732.499,15
732.56,17
732.621,11
732.682,10
732.743,13
732.804,11
732.865,11
732.926,13
732.987,13
733.048,12
733.109,11
733.17,11
733.231,9
733.292,9
733.353,6
733.414,7
733.475,9
733.536,10
733.597,14
733.658,18
733.719,16
733.78,17
733.841,19
733.902,17
733.963,17
734.024,16
734.085,13
734.146,10
734.207,12
734.268,11
734.329,13
734.39,14
734.451,12
734.512,12
734.573,10
734.634,8
734.695,9
734.756,10
734.817,15
734.878,22
734.939,22
735.00,22
735.061,18
735.122,10
735.183,9
735.244,8
735.305,10
735.366,15
735.427,15
735.488,15
735.549,14
735.611,12
735.672,17
735.733,22
735.794,30
735.855,33
735.916,31
735.977,30
736.038,28
736.099,27
736.16,26
736.221,26
736.282,22
736.344,24
736.405,24
736.466,24
736.527,23
736.588,21
736.649,23
736.71,24
736.771,20
736.832,17
736.894,17
736.955,15
737.016,10
737.077,12
737.138,12
737.199,11
737.26,15
737.321,14
737.383,12
737.444,11
737.505,16
737.566,18
737.627,18
737.688,19
737.75,15
737.811,10
737.872,8
737.933,5
737.994,4
738.055,9
738.117,11
738.178,15
738.239,21
738.3,17
738.361,17
738.422,16
738.484,12
738.545,13
738.606,13
738.667,11
738.728,7
738.79,9
738.851,8
738.912,8
738.973,8
739.034,5
739.096,5
739.157,6
739.218,10
739.279,10
739.341,12
739.402,12
739.463,10
739.524,11
739.585,15
739.647,17
739.708,21
739.769,22
739.83,17
739.892,16
739.953,18
740.014,18
740.075,19
740.137,18
740.198,17
740.259,16
740.321,14
740.382,15
740.443,14
740.504,16
740.566,15
740.627,14
740.688,12
740.749,10
740.811,12
740.872,13
740.933,15
740.995,14
741.056,12
741.117,12
741.179,13
741.24,19
741.301,19
741.362,16
741.424,13
741.485,7
741.546,6
741.608,5
741.669,4
741.73,3
741.792,4
741.853,6
741.914,9
741.976,10
742.037,10
742.098,11
742.16,14
742.221,13
742.282,14
742.344,11
742.405,8
742.466,9
742.528,9
742.589,11
742.651,10
742.712,11
742.773,9
742.835,6
742.896,7
742.957,3
743.019,4
743.08,7
743.142,8
743.203,8
743.264,9
743.326,9
743.387,10
743.449,12
743.51,10
743.571,10
743.633,8
743.694,9
743.756,11
743.817,8
743.878,11
743.94,14
744.001,11
744.063,11
744.124,9
744.185,6
744.247,9
744.308,11
744.37,12
744.431,12
744.493,11
744.554,12
744.616,16
744.677,17
744.738,16
744.8,19
744.861,13
744.923,16
744.984,17
745.046,14
745.107,13
745.169,10
745.23,9
745.292,8
745.353,8
745.415,9
745.476,11
745.538,15
745.599,20
745.661,16
745.722,16
745.784,12
745.845,13
745.907,16
745.968,15
746.03,18
746.091,15
746.153,16
746.214,19
746.276,23
746.337,22
746.399,21
746.46,16
746.522,12
746.583,11
746.645,9
746.706,8
746.768,8
746.829,9
746.891,12
746.952,15
747.014,17
747.075,20
747.137,19
747.199,17
747.26,14
747.322,12
747.383,8
747.445,8
747.506,9
747.568,5
747.63,8
747.691,9
747.753,7
747.814,8
747.876,8
747.937,6
747.999,8
748.061,8
748.122,7
748.184,9
748.245,11
748.307,13
748.369,13
748.43,13
748.492,14
748.553,9
748.615,9
748.677,9
748.738,5
748.8,9
748.862,14
748.923,14
748.985,18
749.046,15
749.108,11
749.17,10
749.231,11
749.293,13
749.355,11
749.416,11
749.478,8
749.54,8
749.601,10
749.663,10
749.725,10
749.786,9
749.848,9
749.91,12
749.971,14
750.033,14
750.095,14
750.156,15
750.218,13
750.28,18
750.341,20
750.403,17
750.465,19
750.526,18
750.588,15
750.65,15
750.711,13
750.773,9
750.835,11
750.897,12
750.958,13
751.02,12
751.082,9
751.143,9
751.205,8
751.267,7
751.329,9
751.39,9
751.452,8
751.514,10
751.575,14
751.637,14
751.699,15
751.761,18
751.822,13
751.884,13
751.946,15
752.008,14
752.069,14
752.131,12
752.193,10
752.255,10
752.317,13
752.378,15
752.44,19
752.502,20
752.564,17
752.625,18
752.687,13
752.749,13
752.811,16
752.873,13
752.934,15
752.996,13
753.058,10
753.12,10
753.182,9
753.243,14
753.305,13
753.367,13
753.429,12
753.491,10
753.552,12
753.614,15
753.676,16
753.738,9
753.8,6
753.862,4
753.923,8
753.985,16
754.047,20
754.109,22
754.171,20
754.233,15
754.294,14
754.356,13
754.418,9
754.48,11
754.542,13
754.604,12
754.666,15
754.727,15
754.789,13
754.851,15
754.913,16
754.975,15
755.037,16
755.099,13
755.161,12
755.222,15
755.284,15
755.346,18
755.408,16
755.47,14
755.532,14
755.594,12
