mz,abundance
700.026,15
700.085,9
700.145,12
700.204,14
700.264,18
700.323,25
700.383,26
700.443,25
700.502,24
700.562,23
700.621,26
700.681,26
700.74,26
700.8,21
700.86,16
700.919,21
700.979,22
701.038,21
701.098,22
701.158,22
701.217,24
701.277,23
701.336,24
701.396,21
701.456,16
701.515,13
701.575,10
701.635,13
701.694,10
701.754,13
701.813,13
701.873,11
701.933,11
701.992,10
702.052,11
702.112,9
702.171,10
702.231,7
702.29,10
702.35,12
702.41,15
702.469,16
702.529,17
702.589,15
702.648,15
702.708,16
702.768,13
702.827,16
702.887,16
702.947,14
703.006,16
703.066,14
703.126,12
703.186,13
703.245,12
703.305,13
703.365,20
703.424,24
703.484,24
703.544,25
703.603,25
703.663,17
703.723,16
703.783,16
703.842,14
703.902,17
703.962,21
704.021,23
704.081,18
704.141,21
704.201,20
704.26,20
704.32,23
704.38,15
704.44,13
704.499,12
704.559,9
704.619,10
704.678,10
704.738,11
704.798,14
704.858,13
704.918,13
704.977,13
705.037,11
705.097,15
705.157,20
705.216,21
705.276,17
705.336,15
705.396,14
705.455,13
705.515,14
705.575,13
705.635,12
705.695,12
705.754,10
705.814,15
705.874,15
705.934,17
705.994,21
706.053,22
706.113,24
706.173,24
706.233,24
706.293,19
706.353,17
706.412,16
706.472,18
706.532,20
706.592,17
706.652,20
706.712,14
706.771,16
706.831,18
706.891,17
706.951,18
707.011,15
707.071,14
707.13,13
707.19,22
707.25,24
707.31,29
707.37,31
707.43,21
707.49,24
707.55,22
707.609,23
707.669,23
707.729,19
707.789,22
707.849,19
707.909,20
707.969,20
708.029,14
708.088,13
708.148,15
708.208,15
708.268,19
708.328,18
708.388,21
708.448,22
708.508,22
708.568,23
708.628,20
708.688,17
708.748,14
708.807,17
708.867,17
708.927,18
708.987,19
709.047,14
709.107,14
709.167,15
709.227,15
709.287,17
709.347,21
709.407,21
709.467,17
709.527,16
709.587,15
709.647,14
709.707,16
709.767,16
709.827,12
709.887,8
709.947,7
710.007,9
710.066,12
710.126,12
710.186,11
710.246,11
710.306,11
710.366,13
710.426,17
710.486,14
710.546,15
710.606,15
710.666,16
710.726,17
710.786,20
710.846,20
710.906,15
710.967,16
711.027,14
711.087,18
711.147,23
711.207,25
711.267,21
711.327,20
711.387,19
711.447,15
711.507,17
711.567,21
711.627,21
711.687,23
711.747,21
711.807,17
711.867,12
711.927,9
711.987,11
712.047,9
712.107,10
712.167,8
712.228,8
712.288,9
712.348,7
712.408,11
712.468,10
712.528,15
712.588,18
712.648,17
712.708,22
712.768,18
712.828,19
712.888,17
712.949,12
713.009,10
713.069,11
713.129,12
713.189,15
713.249,16
713.309,16
713.369,16
713.43,14
713.49,15
713.55,14
713.61,16
713.67,16
713.73,18
713.79,17
713.85,13
713.911,17
713.971,17
714.031,20
714.091,18
714.151,14
714.211,16
714.272,12
714.332,13
714.392,14
714.452,10
714.512,13
714.572,14
714.633,15
714.693,15
714.753,13
714.813,12
714.873,13
714.933,20
714.994,21
715.054,22
715.114,24
715.174,22
715.234,25
715.295,22
715.355,18
715.415,20
715.475,25
715.535,23
715.596,24
715.656,20
715.716,16
715.776,16
715.837,11
715.897,8
715.957,8
716.017,8
716.078,9
716.138,8
716.198,13
716.258,15
716.318,24
716.379,28
716.439,24
716.499,22
716.56,16
716.62,17
716.68,19
716.74,20
716.801,22
716.861,20
716.921,17
716.981,15
717.042,13
717.102,14
717.162,19
717.223,21
717.283,23
717.343,20
717.403,20
717.464,19
717.524,22
717.584,24
717.645,22
717.705,23
717.765,17
717.826,13
717.886,12
717.946,13
718.006,12
718.067,19
718.127,18
718.187,19
718.248,24
718.308,22
718.368,23
718.429,22
718.489,22
718.549,23
718.61,20
718.67,19
718.731,22
718.791,19
718.851,17
718.912,15
718.972,11
719.032,12
719.093,16
719.153,19
719.213,18
719.274,20
719.334,21
719.395,21
719.455,20
719.515,21
719.576,27
719.636,27
719.696,33
719.757,32
719.817,38
719.878,38
719.938,34
719.998,31
720.059,21
720.119,18
720.18,16
720.24,23
720.301,18
720.361,18
720.421,16
720.482,11
720.542,11
720.603,14
720.663,16
720.723,18
720.784,24
720.844,22
720.905,27
720.965,25
721.026,21
721.086,21
721.147,17
721.207,16
721.268,19
721.328,20
721.388,20
721.449,17
721.509,17
721.57,17
721.63,14
721.691,19
721.751,15
721.812,14
721.872,13
721.933,11
721.993,18
722.054,20
722.114,18
722.175,19
722.235,16
722.296,16
722.356,20
722.417,17
722.477,13
722.538,15
722.598,13
722.659,16
722.719,16
722.78,15
722.84,15
722.901,15
722.961,14
723.022,12
723.082,7
723.143,4
723.204,9
723.264,10
723.325,10
723.385,12
723.446,14
723.506,13
723.567,16
723.627,13
723.688,11
723.749,13
723.809,12
723.87,14
723.93,13
723.991,13
724.051,15
724.112,19
724.173,18
724.233,17
724.294,19
724.354,18
724.415,19
724.475,20
724.536,17
724.597,15
724.657,14
724.718,13
724.778,13
724.839,11
724.9,14
724.96,14
725.021,13
725.082,12
725.142,7
725.203,9
725.263,8
725.324,10
725.385,15
725.445,12
725.506,15
725.567,16
725.627,11
725.688,13
725.749,13
725.809,17
725.87,19
725.93,18
725.991,17
726.052,14
726.112,16
726.173,16
726.234,16
726.294,17
726.355,16
726.416,19
726.477,16
726.537,15
726.598,16
726.659,11
726.719,11
726.78,8
726.841,3
726.901,5
726.962,7
727.023,9
727.083,8
727.144,9
727.205,7
727.266,8
727.326,12
727.387,11
727.448,14
727.508,13
727.569,14
727.63,16
727.691,14
727.751,14
727.812,14
727.873,18
727.934,20
727.994,18
728.055,20
728.116,15
728.177,19
728.237,21
728.298,19
728.359,21
728.42,21
728.48,24
728.541,22
728.602,21
728.663,19
728.723,16
728.784,15
728.845,16
728.906,17
728.967,19
729.027,21
729.088,21
729.149,19
729.21,15
729.271,10
729.331,10
729.392,12
729.453,13
729.514,15
729.575,15
729.635,18
729.696,15
729.757,18
729.818,18
729.879,16
729.939,18
730.00,18
730.061,16
730.122,14
730.183,12
730.244,10
730.304,10
730.365,13
730.426,14
730.487,14
730.548,16
730.609,12
730.67,18
730.73,16
730.791,17
730.852,16
730.913,15
730.974,19
731.035,21
731.096,21
731.156,17
731.217,15
731.278,13
731.339,13
731.4,18
731.461,18
731.522,19
731.583,22
731.644,21
731.704,20
731.765,18
731.826,16
