mz,abundance
700.026,14
700.086,15
700.145,13
700.205,10
700.265,11
700.324,8
700.384,9
700.443,8
700.503,7
700.562,9
700.622,8
700.682,7
700.741,6
700.801,7
700.86,7
700.92,7
700.98,10
701.039,8
701.099,10
701.158,10
701.218,9
701.278,9
701.337,6
701.397,7
701.457,7
701.516,7
701.576,7
701.635,7
701.695,4
701.755,5
701.814,6
701.874,5
701.934,5
701.993,5
702.053,4
702.112,4
702.172,8
702.232,7
702.291,10
702.351,10
702.411,10
702.47,13
702.53,9
702.59,11
702.649,9
702.709,5
702.769,6
702.828,4
702.888,3
702.948,6
703.008,7
703.067,7
703.127,7
703.187,6
703.246,6
703.306,9
703.366,10
703.425,9
703.485,12
703.545,8
703.605,9
703.664,8
703.724,4
703.784,5
703.843,5
703.903,7
703.963,7
704.023,9
704.082,6
704.142,8
704.202,8
704.262,9
704.321,10
704.381,8
704.441,10
704.5,7
704.56,7
704.62,8
704.68,9
704.74,11
704.799,13
704.859,10
704.919,6
704.979,5
705.038,3
705.098,3
705.158,5
705.218,5
705.277,6
705.337,8
705.397,8
705.457,6
705.517,5
705.576,4
705.636,5
705.696,8
705.756,8
705.816,7
705.875,6
705.935,6
705.995,8
706.055,8
706.115,8
706.175,5
706.234,3
706.294,4
706.354,2
706.414,3
706.474,4
706.534,3
706.593,5
706.653,5
706.713,6
706.773,8
706.833,7
706.893,10
706.952,7
707.012,7
707.072,10
707.132,8
707.192,12
707.252,11
707.312,8
707.372,6
707.431,3
707.491,2
707.551,3
707.611,3
707.671,4
707.731,5
707.791,5
707.851,8
707.91,8
707.97,8
708.03,9
708.09,9
708.15,7
708.21,7
708.27,6
708.33,5
708.39,6
708.45,5
708.51,4
708.57,2
708.629,2
708.689,4
708.749,5
708.809,7
708.869,7
708.929,5
708.989,3
709.049,3
709.109,3
709.169,4
709.229,8
709.289,10
709.349,10
709.409,9
709.469,8
709.529,7
709.589,8
709.649,9
709.709,7
709.769,5
709.829,3
709.888,4
709.948,5
710.008,8
710.068,10
710.128,11
710.188,10
710.248,8
710.308,7
710.368,5
710.428,6
710.488,7
710.548,7
710.608,7
710.668,6
710.728,6
710.789,6
710.849,5
710.909,4
710.969,6
711.029,7
711.089,9
711.149,11
711.209,7
711.269,7
711.329,10
711.389,12
711.449,12
711.509,10
711.569,6
711.629,5
711.689,6
711.749,8
711.809,8
711.869,5
711.929,3
711.989,2
712.05,2
712.11,6
712.17,6
712.23,7
712.29,7
712.35,4
712.41,6
712.47,4
712.53,5
712.59,6
712.65,8
712.71,9
712.771,8
712.831,8
712.891,5
712.951,5
713.011,6
713.071,4
713.131,6
713.191,8
713.252,8
713.312,10
713.372,8
713.432,6
713.492,8
713.552,9
713.612,8
713.672,10
713.733,6
713.793,7
713.853,7
713.913,6
713.973,8
714.033,5
714.094,9
714.154,8
714.214,9
714.274,9
714.334,7
714.394,8
714.455,8
714.515,8
714.575,8
714.635,6
714.695,3
714.755,4
714.816,6
714.876,7
714.936,11
714.996,9
715.056,7
715.117,9
715.177,6
715.237,9
715.297,7
715.357,5
715.418,6
715.478,5
715.538,11
715.598,11
715.659,9
715.719,10
715.779,6
715.839,7
715.9,7
715.96,6
716.02,7
716.08,5
716.14,5
716.201,6
716.261,4
716.321,5
716.382,10
716.442,11
716.502,13
716.562,14
716.623,11
716.683,8
716.743,5
716.803,3
716.864,3
716.924,5
716.984,5
717.045,6
717.105,4
717.165,5
717.225,9
717.286,12
717.346,12
717.406,11
717.467,12
717.527,9
717.587,10
717.648,8
717.708,7
717.768,7
717.828,10
717.889,11
717.949,11
718.009,11
718.07,8
718.13,9
718.19,6
718.251,7
718.311,7
718.371,6
718.432,8
718.492,10
718.553,6
718.613,7
718.673,7
718.734,6
718.794,8
718.854,10
718.915,9
718.975,10
719.035,11
719.096,10
719.156,12
719.217,9
719.277,6
719.337,6
719.398,5
719.458,7
719.518,8
719.579,7
719.639,7
719.7,8
719.76,10
719.82,11
719.881,11
719.941,13
720.002,13
720.062,12
720.123,12
720.183,12
720.243,10
720.304,9
720.364,8
720.425,3
720.485,2
720.545,3
720.606,4
720.666,6
720.727,6
720.787,9
720.848,10
720.908,12
720.969,13
721.029,11
721.09,9
721.15,8
721.21,8
721.271,6
721.331,7
721.392,7
721.452,7
721.513,9
721.573,8
721.634,6
721.694,7
721.755,6
721.815,7
721.876,9
721.936,8
721.997,13
722.057,12
722.118,14
722.178,13
722.239,8
722.299,9
722.36,4
722.42,4
722.481,5
722.541,4
722.602,7
722.662,9
722.723,8
722.783,10
722.844,9
722.904,7
722.965,6
723.026,4
723.086,5
723.147,6
723.207,10
723.268,11
723.328,9
723.389,8
723.449,8
723.51,6
723.571,9
723.631,9
723.692,6
723.752,10
723.813,7
723.873,7
723.934,7
723.995,5
724.055,6
724.116,8
724.176,8
724.237,11
724.297,11
724.358,10
724.419,10
724.479,7
724.54,8
724.6,7
724.661,10
724.722,10
724.782,8
724.843,9
724.904,6
724.964,5
725.025,7
725.085,7
725.146,7
725.207,10
725.267,7
