mz,abundance
700.03,15
700.09,13
700.149,11
700.209,12
700.268,7
700.328,7
700.387,7
700.447,6
700.506,5
700.566,2
700.625,2
700.685,0
700.744,3
700.804,3
700.864,3
700.923,4
700.983,2
701.042,3
701.102,3
701.161,3
701.221,3
701.28,2
701.34,2
701.399,1
701.459,0
701.519,0
701.578,0
701.638,2
701.697,2
701.757,2
701.816,2
701.876,0
701.936,0
701.995,1
702.055,1
702.114,1
702.174,3
702.234,2
702.293,2
702.353,2
702.412,0
702.472,0
702.532,0
702.591,0
702.651,0
702.711,0
702.77,0
702.83,0
702.889,0
702.949,0
703.009,0
703.068,0
703.128,0
703.188,1
703.247,1
703.307,2
703.366,2
703.426,2
703.486,2
703.545,2
703.605,2
703.665,1
703.724,2
703.784,1
703.844,1
703.903,1
703.963,0
704.023,0
704.082,0
704.142,0
704.202,0
704.262,1
704.321,1
704.381,4
704.441,7
704.5,6
704.56,7
704.62,4
704.679,3
704.739,3
704.799,2
704.859,2
704.918,0
704.978,0
705.038,0
705.097,0
705.157,0
705.217,0
705.277,0
705.336,0
705.396,0
705.456,0
705.516,0
705.575,0
705.635,0
705.695,1
705.754,1
705.814,3
705.874,3
705.934,2
705.994,2
706.053,1
706.113,1
706.173,1
706.233,1
706.292,0
706.352,0
706.412,0
706.472,0
706.531,0
706.591,0
706.651,0
706.711,0
706.771,2
706.83,2
706.89,2
706.95,3
707.01,1
707.07,2
707.129,2
707.189,1
707.249,1
707.309,0
707.369,0
707.429,1
707.488,1
707.548,1
707.608,1
707.668,2
707.728,3
707.788,4
707.847,5
707.907,4
707.967,6
708.027,6
708.087,3
708.147,4
708.206,9
708.266,9
708.326,8
708.386,7
708.446,2
708.506,2
708.566,2
708.626,2
708.685,0
708.745,0
708.805,0
708.865,1
708.925,1
708.985,1
709.045,1
709.105,0
709.164,1
709.224,1
709.284,2
709.344,2
709.404,2
709.464,2
709.524,1
709.584,1
709.644,0
709.704,0
709.764,0
709.824,0
709.883,4
709.943,5
710.003,6
710.063,6
710.123,2
710.183,1
710.243,0
710.303,2
710.363,3
710.423,3
710.483,3
710.543,1
710.603,0
710.663,0
710.723,0
710.783,0
710.843,0
710.903,0
710.963,0
711.023,0
711.083,0
711.142,0
711.202,0
711.262,0
711.322,0
711.382,1
711.442,1
711.502,1
711.562,1
711.622,0
711.682,1
711.742,1
711.802,1
711.862,1
711.922,2
711.982,2
712.043,2
712.103,2
712.163,0
712.223,0
712.283,0
712.343,0
712.403,1
712.463,1
712.523,1
712.583,1
712.643,0
712.703,0
712.763,1
712.823,1
712.883,1
712.943,1
713.003,3
713.063,3
713.123,3
713.183,3
713.243,1
713.304,1
713.364,1
713.424,1
713.484,0
713.544,0
713.604,1
713.664,1
713.724,1
713.784,2
713.844,1
713.904,2
713.964,3
