mz,abundance
698.517,717
698.577,742
698.636,752
698.696,756
698.755,749
698.815,745
698.874,738
698.934,722
698.993,694
699.053,684
699.112,642
699.172,623
699.231,622
699.291,629
699.351,640
699.41,671
699.47,700
699.529,713
699.589,744
699.648,753
699.708,756
699.767,766
699.827,763
699.886,753
699.946,711
700.006,677
700.065,651
700.125,644
700.184,660
700.244,664
700.303,678
700.363,674
700.423,685
700.482,705
700.542,706
700.601,723
700.661,743
700.721,759
700.78,774
700.84,775
700.899,769
700.959,755
701.019,754
701.078,755
701.138,750
701.198,756
701.257,742
701.317,740
701.376,738
701.436,749
701.496,759
701.555,761
701.615,763
701.675,760
701.734,756
701.794,739
701.853,720
701.913,687
701.973,669
702.032,667
702.092,659
702.152,663
702.211,674
702.271,683
702.331,698
702.39,720
702.45,732
702.51,746
702.569,745
702.629,764
702.689,785
702.749,814
702.808,844
702.868,864
702.928,866
702.987,860
703.047,843
703.107,821
703.166,811
703.226,795
703.286,779
703.346,747
703.405,726
703.465,721
703.525,713
703.584,724
703.644,736
703.704,753
703.764,781
703.823,807
703.883,822
703.943,849
704.003,847
704.062,848
704.122,864
704.182,858
704.241,848
704.301,837
704.361,818
704.421,796
704.481,796
704.54,782
704.6,777
704.66,792
704.72,804
704.779,794
704.839,793
704.899,784
704.959,754
705.018,744
705.078,737
705.138,720
705.198,723
705.258,721
705.317,726
705.377,728
705.437,726
705.497,719
705.557,706
705.616,701
705.676,698
705.736,712
705.796,705
705.856,716
705.916,721
705.975,715
706.035,716
706.095,699
706.155,694
706.215,677
706.275,685
706.334,692
706.394,710
706.454,725
706.514,738
706.574,749
706.634,742
706.693,759
706.753,748
706.813,729
706.873,719
706.933,706
706.993,683
707.053,683
707.113,669
707.172,668
707.232,652
707.292,659
707.352,675
707.412,671
707.472,690
707.532,695
707.592,712
707.651,742
707.711,751
707.771,751
707.831,759
707.891,775
707.951,766
708.011,748
708.071,727
708.131,687
708.191,676
708.251,684
708.311,688
708.37,684
708.43,705
708.49,726
708.55,738
708.61,762
708.67,783
708.73,796
708.79,807
708.85,815
708.91,800
708.97,790
709.03,798
709.09,793
709.15,768
709.21,757
709.27,734
709.33,715
709.39,719
709.45,739
709.51,745
709.57,760
709.629,762
709.689,772
709.749,759
709.809,739
709.869,724
709.929,706
709.989,694
710.049,679
710.109,662
710.169,650
710.229,640
710.289,670
710.349,667
710.409,678
710.469,689
710.53,711
710.59,735
710.65,757
710.71,764
710.77,772
710.83,768
710.89,743
710.95,729
711.01,710
711.07,703
711.13,697
711.19,707
711.25,720
711.31,726
711.37,731
711.43,726
711.49,729
711.55,731
711.61,744
711.67,749
711.73,756
711.791,779
711.851,797
711.911,810
711.971,800
712.031,783
712.091,769
712.151,754
712.211,752
712.271,741
712.331,737
712.391,734
712.451,727
712.512,715
712.572,707
712.632,707
712.692,701
712.752,709
712.812,718
712.872,708
712.932,703
712.993,686
713.053,662
713.113,654
713.173,643
713.233,653
713.293,668
713.353,681
713.413,690
713.474,698
713.534,711
713.594,724
713.654,735
713.714,740
713.774,730
713.835,728
713.895,729
713.955,728
714.015,739
714.075,736
714.135,740
714.196,733
714.256,720
714.316,719
714.376,721
714.436,733
714.496,755
714.557,769
714.617,783
714.677,788
714.737,790
714.797,796
714.858,807
714.918,783
714.978,776
715.038,770
715.098,766
715.159,758
715.219,752
715.279,738
715.339,718
715.4,727
715.46,723
715.52,728
715.58,734
715.641,751
715.701,765
715.761,782
715.821,795
715.881,772
715.942,764
716.002,755
716.062,746
716.123,724
716.183,715
716.243,708
716.303,712
716.364,728
716.424,717
716.484,704
716.544,685
716.605,709
716.665,718
716.725,729
716.786,739
716.846,733
716.906,735
716.966,717
717.027,738
717.087,740
717.147,747
717.208,774
717.268,802
717.328,831
717.389,901
717.449,983
717.509,1022
717.569,1120
717.63,1217
717.69,1339
717.75,1460
717.811,1582
717.871,1686
717.931,1844
717.992,1984
718.052,2125
718.112,2300
718.173,2431
718.233,2601
718.294,2719
718.354,2795
718.414,2844
718.475,2973
718.535,3137
718.595,3325
718.656,3631
718.716,4100
718.776,4799
718.837,5985
718.897,7453
718.958,9452
719.018,11747
719.078,14277
719.139,16996
719.199,19192
719.259,20973
719.32,22017
719.38,22301
719.441,22054
719.501,21250
719.561,19896
719.622,18327
719.682,16596
719.743,15031
719.803,13805
719.864,13001
719.924,12879
719.984,13183
720.045,14185
720.105,15650
720.166,17252
720.226,18872
720.286,20205
720.347,21028
720.407,21266
720.468,20901
720.528,19825
720.589,18399
720.649,16737
720.71,15172
720.77,13847
720.831,12810
720.891,12086
720.951,11637
721.012,11606
721.072,11944
721.133,12756
721.193,13714
721.254,14709
721.314,15550
721.375,15944
721.435,15986
721.496,15479
721.556,14604
721.617,13452
721.677,12231
721.738,11056
721.798,10085
721.859,9355
721.919,8748
721.98,8381
722.04,8133
722.101,8091
722.161,8227
722.222,8560
722.282,8927
722.343,9235
722.403,9406
722.464,9312
722.524,9076
722.585,8627
722.645,8080
722.706,7519
722.767,6967
722.827,6473
722.888,6079
722.948,5788
723.009,5536
723.069,5388
723.13,5294
723.19,5289
723.251,5343
723.312,5447
723.372,5534
723.433,5542
723.493,5522
723.554,5400
723.614,5239
723.675,5068
723.736,4879
723.796,4720
723.857,4574
723.917,4477
723.978,4403
724.038,4365
724.099,4355
724.16,4366
724.22,4362
724.281,4361
724.341,4387
724.402,4393
724.463,4387
724.523,4357
724.584,4321
724.645,4267
724.705,4206
724.766,4153
724.826,4105
724.887,4089
724.948,4070
725.008,4049
725.069,4025
725.13,4016
725.19,4004
725.251,4003
725.312,3989
725.372,3912
725.433,3785
725.493,3598
725.554,3380
725.615,3179
725.675,2991
725.736,2869
725.797,2765
725.857,2721
725.918,2693
725.979,2692
726.04,2716
726.1,2744
726.161,2783
726.222,2809
726.282,2835
726.343,2831
726.404,2789
726.464,2723
726.525,2630
726.586,2533
726.646,2436
726.707,2368
726.768,2292
726.829,2256
726.889,2225
726.95,2220
727.011,2212
727.071,2199
727.132,2197
727.193,2196
727.254,2205
727.314,2234
727.375,2269
727.436,2271
727.497,2272
727.557,2228
727.618,2174
727.679,2108
727.74,2060
727.8,2022
727.861,1978
727.922,1946
727.983,1927
728.043,1916
728.104,1906
728.165,1900
728.226,1873
728.286,1860
728.347,1862
728.408,1845
728.469,1841
728.53,1844
728.59,1831
728.651,1816
728.712,1818
728.773,1795
728.834,1790
728.894,1801
728.955,1789
729.016,1784
729.077,1777
729.138,1769
729.198,1766
729.259,1764
729.32,1768
729.381,1756
729.442,1746
729.502,1752
729.563,1749
729.624,1745
729.685,1744
729.746,1726
729.807,1723
729.867,1695
729.928,1659
729.989,1633
730.05,1603
730.111,1587
