mz,abundance
700.03,13
700.09,14
700.149,12
700.209,7
700.268,6
700.328,6
700.387,5
700.447,3
700.507,5
700.566,4
700.626,4
700.685,5
700.745,3
700.804,3
700.864,3
700.924,1
700.983,1
701.043,1
701.102,2
701.162,2
701.222,1
701.281,1
701.341,0
701.4,1
701.46,2
701.52,2
701.579,2
701.639,3
701.699,2
701.758,2
701.818,3
701.877,3
701.937,4
701.997,5
702.056,4
702.116,5
702.176,4
702.235,3
702.295,4
702.354,1
702.414,1
702.474,1
702.533,2
702.593,2
702.653,2
702.712,2
702.772,3
702.832,10
702.891,13
702.951,17
703.011,21
703.07,21
703.13,20
703.19,17
703.25,10
703.309,4
703.369,3
703.429,4
703.488,4
703.548,6
703.608,6
703.667,5
703.727,6
703.787,7
703.847,11
703.906,12
703.966,15
704.026,18
704.085,17
704.145,15
704.205,11
704.265,6
704.324,5
704.384,5
704.444,5
704.504,3
704.563,3
704.623,3
704.683,3
704.742,4
704.802,5
704.862,11
704.922,16
704.982,20
705.041,21
705.101,21
705.161,18
705.221,15
705.28,13
705.34,8
705.4,8
705.46,7
705.519,6
705.579,6
705.639,5
705.699,7
705.759,5
705.818,5
705.878,7
705.938,8
705.998,7
706.058,8
706.117,8
706.177,7
706.237,8
706.297,9
706.357,8
706.417,6
706.476,6
706.536,12
706.596,11
706.656,11
706.716,10
706.776,5
706.835,4
706.895,7
706.955,6
707.015,7
707.075,9
707.135,6
707.194,5
707.254,5
707.314,6
707.374,5
707.434,4
707.494,4
707.554,2
707.614,3
707.673,3
707.733,5
707.793,5
707.853,5
707.913,6
707.973,7
708.033,12
708.093,18
708.152,18
708.212,15
708.272,17
708.332,16
708.392,15
708.452,14
708.512,7
708.572,2
708.632,2
708.692,2
708.752,5
708.812,4
708.871,5
708.931,6
708.991,3
709.051,4
709.111,7
709.171,7
709.231,7
709.291,7
709.351,3
709.411,3
709.471,5
709.531,6
709.591,4
709.651,4
709.711,2
709.771,2
709.831,5
709.891,6
709.951,9
710.011,10
710.071,6
710.13,5
710.19,13
710.25,14
710.31,15
710.37,16
710.43,6
710.49,4
710.55,4
710.61,1
710.67,1
710.73,1
710.79,2
710.85,1
710.91,1
710.97,2
711.031,1
711.091,1
711.151,5
711.211,7
711.271,7
711.331,7
711.391,3
711.451,0
711.511,0
711.571,0
711.631,0
711.691,0
711.751,1
711.811,2
711.871,3
711.931,6
711.991,5
712.051,4
712.111,6
712.171,7
712.231,8
712.292,10
712.352,8
712.412,4
712.472,3
712.532,4
712.592,4
712.652,6
712.712,7
712.772,5
712.832,6
712.892,5
712.952,6
713.013,7
713.073,11
713.133,17
713.193,16
713.253,15
713.313,11
713.373,6
713.433,9
713.494,10
713.554,9
713.614,5
713.674,4
713.734,3
713.794,5
713.854,4
713.914,3
713.975,4
714.035,3
714.095,4
714.155,7
714.215,7
714.275,7
714.336,9
714.396,6
714.456,6
714.516,8
714.576,5
714.636,8
714.697,10
714.757,13
714.817,12
714.877,9
714.937,6
714.997,5
715.058,2
715.118,1
715.178,1
715.238,0
715.298,1
715.359,1
715.419,3
715.479,3
715.539,5
715.599,5
715.66,8
715.72,11
715.78,9
715.84,11
715.901,10
715.961,14
716.021,16
716.081,21
716.142,21
716.202,19
716.262,16
716.322,13
716.382,13
716.443,8
716.503,9
716.563,8
716.624,7
716.684,2
716.744,4
716.804,4
716.865,4
716.925,5
716.985,3
717.045,6
717.106,8
717.166,11
717.226,10
717.287,8
717.347,6
717.407,4
717.467,5
717.528,5
717.588,4
717.648,4
717.709,7
717.769,7
717.829,5
717.89,6
717.95,9
718.01,11
718.07,12
718.131,10
718.191,8
718.251,8
718.312,11
718.372,14
718.432,13
718.493,9
718.553,5
718.613,4
718.674,4
718.734,5
718.795,9
718.855,12
718.915,17
718.976,22
719.036,21
719.096,22
719.157,18
719.217,13
719.277,10
719.338,9
719.398,11
719.459,9
719.519,12
719.579,13
719.64,13
719.7,12
719.76,10
719.821,7
719.881,4
719.942,4
720.002,3
720.062,1
720.123,3
720.183,3
720.244,3
720.304,6
720.365,6
720.425,7
720.485,8
720.546,7
720.606,6
720.667,7
720.727,7
720.787,5
720.848,9
720.908,7
720.969,14
721.029,20
721.09,18
721.15,15
721.211,8
721.271,2
721.332,1
721.392,1
721.452,3
721.513,5
721.573,10
721.634,11
721.694,13
721.755,13
721.815,10
721.876,10
721.936,10
721.997,10
722.057,12
722.118,14
722.178,14
722.239,13
722.299,10
722.36,7
722.42,5
722.481,6
722.541,7
722.602,5
722.662,4
722.723,4
722.783,5
722.844,6
722.904,9
722.965,8
723.025,5
723.086,4
723.146,1
723.207,1
723.268,1
723.328,2
723.389,4
723.449,5
723.51,10
723.57,12
723.631,11
723.691,13
723.752,11
723.813,9
723.873,9
723.934,8
723.994,6
724.055,6
724.115,6
724.176,8
724.237,8
724.297,6
724.358,6
724.418,3
724.479,5
724.539,2
724.6,5
724.661,5
724.721,4
724.782,4
724.842,7
724.903,6
724.964,4
725.024,3
725.085,2
725.146,4
725.206,4
725.267,6
725.327,5
725.388,3
725.449,6
725.509,9
725.57,7
725.631,6
725.691,5
725.752,3
725.813,3
725.873,3
725.934,6
725.994,8
726.055,10
726.116,15
726.176,13
726.237,15
726.298,14
726.358,8
726.419,5
726.48,2
726.541,2
726.601,1
726.662,1
726.723,2
726.783,4
726.844,5
726.905,5
726.965,7
727.026,5
727.087,4
727.147,5
727.208,3
727.269,4
727.33,5
727.39,4
727.451,3
727.512,2
727.572,0
727.633,1
727.694,1
727.755,5
727.815,6
727.876,6
727.937,9
727.998,6
728.058,6
728.119,7
728.18,8
728.241,7
728.301,6
728.362,7
728.423,5
728.484,5
728.544,5
728.605,6
728.666,4
728.727,4
728.787,4
728.848,2
728.909,2
728.97,3
729.031,5
729.091,5
729.152,5
729.213,4
729.274,2
729.335,0
729.395,2
729.456,2
729.517,2
729.578,2
729.639,2
729.699,2
729.76,2
729.821,2
729.882,1
729.943,3
730.003,7
730.064,11
730.125,11
730.186,10
730.247,8
730.308,8
730.368,5
730.429,6
730.49,6
730.551,5
730.612,4
730.673,4
730.734,3
730.794,1
730.855,1
730.916,4
730.977,3
731.038,2
731.099,2
731.16,1
731.22,1
731.281,4
731.342,5
731.403,6
731.464,6
731.525,8
731.586,7
731.647,6
731.708,7
731.768,5
731.829,6
731.89,5
731.951,8
732.012,9
732.073,7
732.134,8
732.195,8
732.256,8
732.317,8
732.378,8
732.439,5
732.499,4
732.56,4
732.621,3
732.682,1
732.743,1
732.804,1
732.865,2
732.926,4
732.987,5
733.048,5
733.109,5
733.17,9
733.231,14
733.292,14
733.353,15
733.414,10
733.475,9
733.536,10
733.597,8
733.658,11
733.719,8
733.78,14
733.841,11
733.902,8
733.963,6
734.024,2
734.085,4
734.146,8
734.207,8
734.268,10
734.329,8
734.39,7
734.451,11
734.512,8
734.573,8
734.634,8
734.695,6
734.756,3
734.817,2
734.878,3
734.939,2
735,3
735.061,6
735.122,5
735.183,4
735.244,3
735.305,2
735.366,3
735.427,3
735.488,3
735.549,2
735.61,1
735.671,2
735.732,4
735.794,4
735.855,5
735.916,7
735.977,8
736.038,8
736.099,8
736.16,6
736.221,5
736.282,5
736.343,10
736.404,11
736.465,11
736.527,9
736.588,6
736.649,5
736.71,3
736.771,3
736.832,3
736.893,1
736.954,0
737.015,0
737.077,0
737.138,3
737.199,3
737.26,3
737.321,4
737.382,1
737.443,2
737.504,2
737.566,1
737.627,3
737.688,4
737.749,5
737.81,8
737.871,9
737.933,12
737.994,12
738.055,15
738.116,15
738.177,12
738.238,12
738.3,9
738.361,13
738.422,10
738.483,12
738.544,12
738.605,11
738.667,9
738.728,7
738.789,5
738.85,1
738.911,3
738.973,4
739.034,5
739.095,7
739.156,6
739.217,6
739.279,6
739.34,4
739.401,2
739.462,3
739.524,4
739.585,7
739.646,10
739.707,9
739.768,13
739.83,12
739.891,10
739.952,12
740.013,10
740.075,11
740.136,13
740.197,10
740.258,11
740.32,10
740.381,7
740.442,6
740.504,4
740.565,0
740.626,0
740.687,0
740.749,0
740.81,1
740.871,1
740.932,2
740.994,3
741.055,3
741.116,4
741.178,3
741.239,2
741.3,2
741.362,1
741.423,1
741.484,1
741.545,0
741.607,0
741.668,0
741.729,0
741.791,0
741.852,1
741.913,1
741.975,1
742.036,1
742.097,3
742.159,3
742.22,4
742.281,5
742.343,5
742.404,5
742.465,4
742.527,3
742.588,1
742.649,2
742.711,2
742.772,3
742.834,4
742.895,4
742.956,5
743.018,10
743.079,13
743.14,16
743.202,16
