mz,abundance
700.026,0
700.086,0
700.146,2
700.205,2
700.265,2
700.324,5
700.384,5
700.443,6
700.503,7
700.563,9
700.622,8
700.682,7
700.741,6
700.801,3
700.861,2
700.92,2
700.98,2
701.039,0
701.099,0
701.159,0
701.218,0
701.278,0
701.338,1
701.397,1
701.457,1
701.516,1
701.576,0
701.636,0
701.695,0
701.755,0
701.815,0
701.874,0
701.934,1
701.993,2
702.053,3
702.113,3
702.172,2
702.232,1
702.292,0
702.351,0
702.411,0
702.471,0
702.53,0
702.59,0
702.65,0
702.709,0
702.769,0
702.829,0
702.889,0
702.948,3
703.008,3
703.068,3
703.127,3
703.187,2
703.247,2
703.306,2
703.366,2
703.426,0
703.486,1
703.545,1
703.605,1
703.665,2
703.724,4
703.784,4
703.844,5
703.904,5
703.963,2
704.023,2
704.083,1
704.143,4
704.202,4
704.262,4
704.322,4
704.381,1
704.441,1
704.501,1
704.561,1
704.621,1
704.68,1
704.74,1
704.8,1
704.86,0
704.919,0
704.979,1
705.039,2
705.099,3
705.158,6
705.218,6
705.278,6
705.338,7
705.398,4
705.457,4
705.517,4
705.577,3
705.637,0
705.697,0
705.756,0
705.816,0
705.876,0
705.936,0
705.996,0
706.056,0
706.115,0
706.175,0
706.235,1
706.295,1
706.355,1
706.415,1
706.474,0
706.534,0
706.594,0
706.654,0
706.714,1
706.774,6
706.833,6
706.893,6
706.953,5
707.013,0
707.073,0
707.133,0
707.193,0
707.253,0
707.312,0
707.372,0
707.432,1
707.492,1
707.552,1
707.612,1
707.672,0
707.732,0
707.791,0
707.851,0
707.911,0
707.971,0
708.031,0
708.091,0
708.151,0
708.211,1
708.271,1
708.331,3
708.391,3
708.451,2
708.51,2
708.57,2
708.63,3
708.69,3
708.75,3
708.81,1
708.87,0
708.93,0
708.99,1
709.05,2
709.11,3
709.17,7
709.23,7
709.29,6
709.35,5
709.41,1
709.47,4
709.53,4
709.59,4
709.65,4
709.71,1
709.769,2
709.829,2
709.889,2
709.949,1
710.009,0
710.069,0
710.129,0
710.189,0
710.249,0
710.309,0
710.369,0
710.429,0
710.489,0
710.549,0
710.609,0
710.67,0
710.73,1
710.79,1
710.85,1
710.91,1
710.97,0
711.03,0
711.09,0
711.15,0
711.21,0
711.27,0
711.33,0
711.39,0
711.45,0
711.51,0
711.57,0
711.63,0
711.69,0
711.75,0
711.81,1
711.87,1
711.931,2
711.991,2
712.051,3
712.111,3
712.171,2
712.231,2
712.291,0
712.351,0
712.411,0
712.471,1
712.531,2
712.591,2
712.652,3
712.712,2
712.772,1
712.832,2
712.892,3
712.952,4
713.012,8
713.072,7
713.133,6
