mz,abundance
700.026,4
700.086,4
700.145,3
700.205,3
700.264,3
700.324,3
700.383,3
700.443,3
700.503,0
700.562,0
700.622,0
700.681,1
700.741,1
700.801,1
700.86,2
700.92,4
700.979,5
701.039,5
701.099,5
701.158,6
701.218,7
701.278,8
701.337,10
701.397,6
701.456,4
701.516,3
701.576,0
701.635,0
701.695,0
701.755,0
701.814,0
701.874,0
701.933,1
701.993,1
702.053,1
702.112,2
702.172,3
702.232,3
702.291,3
702.351,2
702.411,0
702.47,0
702.53,0
702.59,4
702.649,4
702.709,4
702.769,4
702.829,2
702.888,2
702.948,2
703.008,2
703.067,0
703.127,0
703.187,0
703.246,0
703.306,0
703.366,0
703.426,0
703.485,0
703.545,0
703.605,0
703.664,1
703.724,1
703.784,1
703.844,1
703.903,0
703.963,2
704.023,2
704.083,2
704.142,2
704.202,1
704.262,1
704.321,1
704.381,1
704.441,1
704.501,1
704.561,1
704.62,1
704.68,1
704.74,1
704.8,1
704.859,1
704.919,0
704.979,0
705.039,0
705.098,0
705.158,0
705.218,0
705.278,3
705.338,3
705.397,3
705.457,3
705.517,0
705.577,0
705.637,0
705.696,1
705.756,1
705.816,2
705.876,3
705.936,3
705.996,4
706.055,4
706.115,4
706.175,4
706.235,3
706.295,3
706.355,3
706.414,3
706.474,0
706.534,0
706.594,1
706.654,1
706.714,1
706.773,1
706.833,0
706.893,0
706.953,0
707.013,0
707.073,0
707.133,0
707.193,0
707.252,0
707.312,0
707.372,3
707.432,4
707.492,4
707.552,4
707.612,1
707.672,3
707.731,3
707.791,3
707.851,3
707.911,2
707.971,2
708.031,2
708.091,2
708.151,0
708.211,0
708.271,0
708.331,0
708.391,0
708.45,2
708.51,4
708.57,4
708.63,5
708.69,3
708.75,1
708.81,1
708.87,3
708.93,5
708.99,6
709.05,6
709.11,5
709.17,4
709.23,3
709.29,3
709.35,3
709.41,2
709.47,2
709.53,2
709.59,3
709.65,3
709.709,3
709.769,3
709.829,0
709.889,0
709.949,0
710.009,0
710.069,1
710.129,1
710.189,1
710.249,1
710.309,0
710.369,0
710.429,0
710.489,2
710.549,2
710.61,2
710.67,2
710.73,0
710.79,1
710.85,1
710.91,1
710.97,1
711.03,1
711.09,1
711.15,1
711.21,1
711.27,0
711.33,0
711.39,0
711.45,0
711.51,2
711.57,2
711.63,2
711.69,2
711.75,0
711.81,0
711.871,0
711.931,0
711.991,0
712.051,0
712.111,0
712.171,0
712.231,0
712.291,0
712.351,0
712.411,0
712.471,0
712.531,0
712.592,0
712.652,0
712.712,0
712.772,0
712.832,0
712.892,3
712.952,4
713.012,4
713.073,4
713.133,1
713.193,1
713.253,1
713.313,2
713.373,2
713.433,1
713.493,1
713.554,1
713.614,1
713.674,2
713.734,2
713.794,2
713.854,2
713.915,1
713.975,1
714.035,3
