mz,abundance
700.026,10
700.086,12
700.145,10
700.205,8
700.265,6
700.324,5
700.384,7
700.443,5
700.503,5
700.562,7
700.622,6
700.682,7
700.741,7
700.801,4
700.86,6
700.92,7
700.98,8
701.039,12
701.099,10
701.158,10
701.218,11
701.278,9
701.337,11
701.397,11
701.457,10
701.516,11
701.576,13
701.635,15
701.695,16
701.755,16
701.814,11
701.874,11
701.934,10
701.993,9
702.053,11
702.112,9
702.172,9
702.232,7
702.291,8
702.351,8
702.411,8
702.47,9
702.53,10
702.59,9
702.649,7
702.709,6
702.769,5
702.828,5
702.888,6
702.948,9
703.008,11
703.067,8
703.127,8
703.187,4
703.246,6
703.306,9
703.366,10
703.425,12
703.485,9
703.545,9
703.605,8
703.664,7
703.724,6
703.784,4
703.843,5
703.903,4
703.963,3
704.023,7
704.082,5
704.142,5
704.202,6
704.262,8
704.321,8
704.381,10
704.441,13
704.5,13
704.56,13
704.62,13
704.68,12
704.74,10
704.799,10
704.859,5
704.919,6
704.979,7
705.038,9
705.098,11
705.158,9
705.218,8
705.277,7
705.337,3
705.397,2
705.457,4
705.517,4
705.576,4
705.636,6
705.696,9
705.756,9
705.816,7
705.875,9
705.935,9
705.995,10
706.055,12
706.115,13
706.175,13
706.234,11
706.294,9
706.354,5
706.414,8
706.474,8
706.534,11
706.593,10
706.653,6
706.713,7
706.773,4
706.833,3
706.893,4
706.952,3
707.012,4
707.072,7
707.132,5
707.192,6
707.252,6
707.312,4
707.372,4
707.431,6
707.491,7
707.551,8
707.611,9
707.671,9
707.731,7
707.791,5
707.851,7
707.91,5
707.97,4
708.03,6
708.09,6
708.15,6
708.21,11
708.27,14
708.33,17
708.39,17
708.45,13
708.51,13
708.57,13
708.629,16
708.689,16
708.749,13
708.809,14
708.869,12
708.929,12
708.989,11
709.049,11
709.109,9
709.169,7
709.229,8
709.289,9
709.349,8
709.409,9
709.469,11
709.529,8
709.589,10
709.649,10
709.709,10
709.769,10
709.829,9
709.888,10
709.948,9
710.008,9
710.068,9
710.128,11
710.188,7
710.248,8
710.308,9
710.368,5
710.428,7
710.488,4
710.548,2
710.608,2
710.668,4
710.728,6
710.789,6
710.849,8
710.909,6
710.969,5
711.029,7
711.089,8
711.149,7
711.209,9
711.269,10
711.329,9
711.389,9
711.449,9
711.509,6
711.569,5
711.629,9
711.689,8
711.749,9
711.809,11
711.869,9
711.929,11
711.989,11
712.05,10
712.11,10
712.17,8
712.23,9
712.29,10
712.35,9
712.41,8
712.47,8
712.53,7
712.59,7
712.65,9
712.71,7
712.771,6
712.831,5
712.891,5
712.951,5
713.011,4
713.071,5
713.131,7
713.191,7
713.252,8
713.312,7
713.372,5
713.432,5
713.492,4
713.552,6
713.612,4
713.672,9
713.733,12
713.793,12
713.853,13
713.913,10
713.973,8
714.033,6
714.094,11
714.154,10
714.214,11
714.274,11
714.334,8
714.394,7
714.455,8
714.515,9
714.575,6
714.635,7
714.695,6
714.755,7
714.816,8
714.876,8
714.936,6
714.996,5
715.056,4
715.117,3
715.177,5
715.237,4
715.297,7
715.357,7
715.418,7
715.478,8
715.538,4
715.598,4
715.659,4
715.719,4
715.779,7
715.839,9
715.9,12
715.96,14
716.02,12
716.08,12
716.14,10
716.201,9
716.261,11
716.321,7
716.382,5
716.442,4
716.502,4
716.562,4
716.623,7
716.683,7
716.743,7
716.803,6
716.864,6
716.924,6
716.984,7
717.045,8
717.105,6
717.165,6
717.225,4
717.286,6
717.346,13
