mz,abundance
700.017,1220
700.076,1219
700.136,1225
700.196,1229
700.255,1227
700.315,1277
700.374,1328
700.434,1365
700.493,1390
700.553,1380
700.613,1348
700.672,1297
700.732,1287
700.791,1259
700.851,1284
700.91,1296
700.97,1278
701.03,1239
701.089,1200
701.149,1154
701.208,1156
701.268,1205
701.328,1250
701.387,1282
701.447,1296
701.506,1307
701.566,1296
701.626,1302
701.685,1292
701.745,1229
701.805,1190
701.864,1145
701.924,1127
701.983,1109
702.043,1101
702.103,1086
702.162,1082
702.222,1122
702.282,1178
702.341,1239
702.401,1295
702.461,1330
702.52,1334
702.58,1365
702.64,1364
702.699,1352
702.759,1323
702.819,1273
702.878,1220
702.938,1188
702.998,1166
703.057,1140
703.117,1141
703.177,1157
703.236,1177
703.296,1223
703.356,1245
703.415,1244
703.475,1258
703.535,1268
703.594,1268
703.654,1251
703.714,1225
703.774,1214
703.833,1151
703.893,1138
703.953,1118
704.012,1100
704.072,1117
704.132,1106
704.192,1109
704.251,1131
704.311,1166
704.371,1200
704.43,1227
704.49,1241
704.55,1239
704.61,1236
704.669,1234
704.729,1228
704.789,1249
704.849,1242
704.908,1236
704.968,1252
705.028,1224
705.088,1209
705.148,1195
705.207,1190
705.267,1223
705.327,1262
705.387,1298
705.446,1337
705.506,1345
705.566,1326
705.626,1298
705.686,1272
705.745,1254
705.805,1234
705.865,1204
705.925,1186
705.985,1189
706.044,1171
706.104,1161
706.164,1148
706.224,1129
706.284,1138
706.343,1169
706.403,1209
706.463,1241
706.523,1260
706.583,1250
706.643,1233
706.702,1231
706.762,1211
706.822,1195
706.882,1169
706.942,1121
707.002,1113
707.061,1090
707.121,1086
707.181,1093
707.241,1106
707.301,1130
707.361,1171
707.421,1196
707.48,1210
707.54,1244
707.6,1246
707.66,1231
707.72,1186
707.78,1149
707.84,1108
707.9,1098
707.959,1099
708.019,1099
708.079,1123
708.139,1128
708.199,1158
708.259,1194
708.319,1211
708.379,1232
708.439,1274
708.499,1315
708.558,1389
708.618,1443
708.678,1476
708.738,1491
708.798,1492
708.858,1479
708.918,1471
708.978,1426
709.038,1392
709.098,1369
709.158,1332
709.218,1352
709.278,1368
709.338,1382
709.397,1409
709.457,1426
709.517,1425
709.577,1434
709.637,1433
709.697,1423
709.757,1420
709.817,1408
709.877,1392
709.937,1411
709.997,1425
710.057,1444
710.117,1449
710.177,1441
710.237,1423
710.297,1409
710.357,1401
710.417,1385
710.477,1388
710.537,1360
710.597,1339
710.657,1320
710.717,1299
710.777,1249
710.837,1222
710.897,1185
710.957,1150
711.017,1148
711.077,1174
711.137,1203
711.197,1228
711.257,1282
711.317,1309
711.377,1348
711.437,1396
711.497,1418
711.557,1420
711.617,1440
711.677,1451
711.737,1405
711.798,1397
711.858,1367
711.918,1316
711.978,1352
712.038,1387
712.098,1417
712.158,1456
712.218,1469
712.278,1481
712.338,1493
712.398,1518
712.458,1537
712.518,1518
712.578,1498
712.639,1467
712.699,1424
712.759,1433
712.819,1429
712.879,1415
712.939,1412
712.999,1417
713.059,1432
713.119,1460
713.179,1485
713.24,1488
713.3,1526
713.36,1545
713.42,1518
713.48,1489
713.54,1426
713.6,1389
713.66,1351
713.721,1340
713.781,1304
713.841,1262
713.901,1234
713.961,1217
714.021,1211
714.081,1219
714.142,1229
714.202,1213
714.262,1238
714.322,1268
714.382,1327
714.442,1349
714.503,1341
714.563,1350
714.623,1320
714.683,1315
714.743,1326
714.803,1330
714.864,1326
714.924,1332
714.984,1328
715.044,1303
715.104,1293
715.165,1285
715.225,1306
715.285,1327
715.345,1364
715.405,1399
715.466,1452
715.526,1486
715.586,1519
715.646,1529
715.706,1514
715.767,1488
715.827,1470
715.887,1445
715.947,1416
716.008,1403
716.068,1383
716.128,1360
716.188,1357
716.248,1340
716.309,1330
716.369,1348
716.429,1364
716.489,1396
716.55,1410
716.61,1405
716.67,1390
716.73,1370
716.791,1353
716.851,1388
716.911,1390
716.972,1403
717.032,1409
717.092,1388
717.152,1371
717.213,1401
717.273,1430
717.333,1472
717.394,1530
717.454,1576
717.514,1593
717.574,1597
717.635,1549
717.695,1510
717.755,1457
717.816,1392
717.876,1321
717.936,1264
717.997,1231
718.057,1233
718.117,1232
718.178,1250
718.238,1339
718.298,1419
718.358,1539
718.419,1633
718.479,1683
718.54,1812
718.6,1957
718.66,2119
718.721,2315
718.781,2451
718.841,2574
718.902,2710
718.962,2855
719.022,2973
719.083,3094
719.143,3271
719.203,3511
719.264,4029
719.324,4655
719.385,5335
719.445,6345
719.505,7789
719.566,9742
719.626,12178
719.686,14978
719.747,17483
719.807,19730
719.868,21537
719.928,22540
719.988,22951
720.049,22759
720.109,22218
720.17,21294
720.23,20221
720.29,19018
720.351,17761
720.411,16569
720.472,15601
720.532,15045
720.593,14994
720.653,15781
720.713,17102
720.774,18790
720.834,20418
720.895,21614
720.955,22280
721.016,22396
721.076,22124
721.136,21403
721.197,20375
721.257,19161
721.318,17839
721.378,16487
721.439,15353
721.499,14439
721.56,13801
721.62,13721
721.681,14057
721.741,14753
721.802,15755
721.862,16788
721.923,17620
721.983,18148
722.044,18234
722.104,17771
722.164,16982
722.225,15950
722.285,14833
722.346,13743
722.406,12736
722.467,11841
722.528,11109
722.588,10613
722.649,10337
722.709,10347
722.77,10481
722.83,10868
722.891,11369
722.951,11775
723.012,12105
723.072,12133
723.133,11856
723.193,11365
723.254,10767
723.314,10087
723.375,9403
723.435,8797
723.496,8251
723.557,7827
723.617,7538
723.678,7371
723.738,7233
723.799,7176
723.859,7203
723.92,7260
723.98,7343
724.041,7364
724.102,7287
724.162,7116
724.223,6898
724.283,6674
724.344,6484
724.405,6308
724.465,6144
724.526,5983
724.586,5847
724.647,5760
724.707,5685
724.768,5655
724.829,5657
724.889,5683
724.95,5711
725.011,5702
725.071,5698
725.132,5669
725.192,5617
725.253,5549
725.314,5476
725.374,5391
725.435,5330
725.496,5289
725.556,5292
725.617,5349
725.677,5389
725.738,5408
725.799,5384
725.859,5343
725.92,5280
725.981,5132
726.041,4880
726.102,4561
726.163,4199
726.223,3853
726.284,3563
726.345,3352
726.405,3171
726.466,3084
726.527,3092
726.587,3106
726.648,3140
726.709,3172
726.769,3218
726.83,3277
726.891,3321
726.951,3355
727.012,3313
727.073,3210
727.134,3054
727.194,2864
727.255,2711
727.316,2576
727.376,2443
727.437,2376
727.498,2337
727.559,2328
727.619,2336
727.68,2333
727.741,2356
727.801,2369
727.862,2360
727.923,2336
727.984,2296
728.044,2232
728.105,2163
728.166,2105
728.227,2016
728.287,1945
728.348,1881
728.409,1824
728.47,1810
728.53,1791
728.591,1778
728.652,1787
728.713,1809
728.774,1817
728.834,1839
728.895,1828
728.956,1824
729.017,1829
729.077,1831
729.138,1826
729.199,1816
729.26,1808
729.321,1769
729.381,1759
729.442,1737
729.503,1712
729.564,1691
729.625,1698
729.685,1695
729.746,1709
729.807,1727
729.868,1713
729.929,1690
729.989,1651
730.05,1618
730.111,1609
730.172,1605
730.233,1629
730.294,1634
730.354,1632
730.415,1615
730.476,1614
730.537,1594
730.598,1581
730.659,1569
730.72,1545
730.78,1507
730.841,1482
730.902,1472
730.963,1468
731.024,1458
731.085,1440
731.146,1456
731.206,1499
731.267,1517
731.328,1549
731.389,1565
731.45,1578
731.511,1599
731.572,1604
731.633,1597
731.694,1577
731.754,1570
731.815,1568
731.876,1549
731.937,1545
731.998,1519
732.059,1504
732.12,1508
732.181,1508
732.242,1520
732.303,1545
732.364,1568
732.425,1591
732.485,1620
732.546,1667
732.607,1709
732.668,1733
732.729,1751
732.79,1731
732.851,1703
732.912,1679
732.973,1670
733.034,1688
733.095,1705
733.156,1722
733.217,1746
733.278,1775
733.339,1806
733.4,1834
733.461,1866
733.522,1883
733.583,1904
733.644,1938
733.705,1995
733.766,2003
733.827,2027
733.887,2017
733.948,2001
734.009,1989
734.07,1945
734.131,1917
734.192,1881
734.253,1861
734.314,1822
734.375,1770
734.436,1727
734.498,1679
734.559,1682
734.62,1691
734.681,1680
734.742,1714
734.803,1729
734.864,1733
734.925,1750
734.986,1788
735.047,1819
735.108,1843
735.169,1872
735.23,1858
735.291,1860
735.352,1889
735.413,1936
735.474,1996
735.535,2083
735.596,2171
735.657,2270
735.718,2447
735.779,2661
735.84,2901
735.902,3147
735.963,3366
736.024,3487
736.085,3513
736.146,3538
736.207,3427
736.268,3299
736.329,3208
736.39,3095
736.451,3056
736.512,3038
736.573,3052
736.635,3068
736.696,3116
736.757,3218
736.818,3332
736.879,3472
736.94,3587
737.001,3617
737.062,3608
737.123,3553
737.185,3415
737.246,3246
737.307,3108
737.368,2992
737.429,2868
737.49,2824
737.551,2787
737.613,2743
737.674,2711
737.735,2708
737.796,2682
737.857,2631
737.918,2597
737.979,2539
738.041,2511
738.102,2502
738.163,2496
738.224,2498
738.285,2496
738.346,2502
738.408,2500
738.469,2501
738.53,2479
738.591,2445
738.652,2392
738.714,2311
738.775,2250
738.836,2187
738.897,2167
738.958,2138
739.02,2102
739.081,2072
739.142,2027
739.203,2009
739.264,1979
739.326,1965
739.387,1928
739.448,1916
739.509,1903
739.571,1870
739.632,1836
739.693,1797
739.754,1770
739.815,1757
739.877,1765
739.938,1791
739.999,1834
740.06,1877
740.122,1907
740.183,1926
740.244,1925
740.305,1913
740.367,1926
740.428,1955
740.489,1999
740.55,2041
740.612,2064
740.673,2055
740.734,2020
740.796,2001
740.857,1974
740.918,1958
740.979,1952
741.041,1949
741.102,1965
741.163,1960
741.225,1982
741.286,1999
741.347,1991
741.408,2012
741.47,2036
741.531,2069
741.592,2102
741.654,2142
741.715,2114
741.776,2076
741.838,2065
741.899,2029
741.96,2028
742.022,2005
742.083,1975
742.144,1944
742.206,1930
742.267,1948
742.328,1912
742.39,1926
742.451,1922
742.512,1894
742.574,1926
742.635,1934
742.696,1934
742.758,1898
742.819,1863
742.88,1834
742.942,1803
743.003,1801
743.065,1784
743.126,1752
743.187,1746
743.249,1744
743.31,1758
743.372,1773
743.433,1780
743.494,1809
743.556,1804
743.617,1804
743.678,1814
743.74,1793
743.801,1791
743.863,1798
743.924,1801
743.985,1835
744.047,1813
744.108,1807
744.17,1807
744.231,1788
744.293,1812
744.354,1816
744.415,1821
744.477,1819
744.538,1839
744.6,1858
744.661,1870
744.723,1880
744.784,1884
744.846,1885
744.907,1887
744.968,1909
745.03,1857
745.091,1842
745.153,1842
745.214,1829
745.276,1858
745.337,1877
745.399,1882
745.46,1866
745.522,1869
745.583,1845
745.645,1805
745.706,1766
745.768,1728
745.829,1703
745.89,1674
745.952,1671
746.013,1667
746.075,1664
746.136,1663
746.198,1655
746.259,1614
746.321,1583
746.382,1578
746.444,1582
746.506,1599
746.567,1633
746.629,1666
746.69,1688
746.752,1723
746.813,1734
746.875,1723
746.936,1720
746.998,1694
747.059,1663
747.121,1650
747.182,1632
747.244,1639
747.305,1672
747.367,1686
747.429,1699
747.49,1689
747.552,1694
747.613,1699
747.675,1720
747.736,1730
747.798,1722
747.86,1715
747.921,1692
747.983,1645
748.044,1632
748.106,1631
748.167,1633
748.229,1639
748.291,1649
748.352,1649
748.414,1655
748.475,1677
748.537,1685
748.599,1698
748.66,1728
748.722,1731
748.783,1704
748.845,1661
748.907,1592
748.968,1530
749.03,1470
749.091,1396
749.153,1361
749.215,1340
749.276,1332
749.338,1364
749.4,1402
749.461,1455
749.523,1491
749.585,1523
749.646,1544
749.708,1538
749.77,1511
749.831,1472
749.893,1453
749.954,1431
750.016,1420
750.078,1433
750.139,1454
750.201,1476
750.263,1497
750.324,1494
750.386,1489
750.448,1461
750.51,1451
750.571,1428
750.633,1418
750.695,1405
750.756,1389
750.818,1380
750.88,1370
750.941,1376
751.003,1370
751.065,1365
751.126,1371
751.188,1338
751.25,1334
751.312,1338
751.373,1331
751.435,1381
751.497,1410
751.559,1420
751.62,1429
751.682,1367
751.744,1328
751.805,1299
751.867,1276
751.929,1265
751.991,1239
752.052,1201
752.114,1172
752.176,1170
752.238,1189
752.299,1213
752.361,1239
752.423,1275
752.485,1320
752.546,1382
752.608,1454
752.67,1493
752.732,1476
752.794,1435
752.855,1381
752.917,1336
752.979,1313
753.041,1279
753.103,1258
753.164,1222
753.226,1208
753.288,1204
753.35,1213
753.411,1238
753.473,1265
753.535,1298
753.597,1310
753.659,1324
753.721,1306
753.782,1271
753.844,1237
753.906,1184
753.968,1152
754.03,1122
754.091,1107
754.153,1095
754.215,1127
754.277,1139
754.339,1160
754.401,1185
754.463,1197
754.524,1210
754.586,1227
754.648,1246
754.71,1248
754.772,1257
754.834,1234
754.896,1195
754.957,1188
755.019,1171
755.081,1153
755.143,1155
755.205,1112
755.267,1089
755.329,1067
755.391,1073
755.452,1093
755.514,1117
755.576,1137
755.638,1155
755.7,1160
755.762,1136
755.824,1122
755.886,1102
755.948,1105
756.01,1118
756.071,1124
756.133,1151
756.195,1157
756.257,1179
756.319,1189
756.381,1217
756.443,1225
756.505,1248
